period,cost,model,completed_round_trips,positive_cycles,holding_decision_rows,holding_breadth_no_view_rows,breadth_exit_cycles,price_exit_cycles,mean_holding_intervals
evaluation,BASE,BREADTH_MAJORITY_TREND,62,15,381,10,38,39,6.145161290322581
evaluation,BASE,PRICE20_ONLY,82,14,593,11,0,80,7.2317073170731705
evaluation,STRESS,BREADTH_MAJORITY_TREND,62,13,381,10,38,39,6.145161290322581
evaluation,STRESS,PRICE20_ONLY,82,14,593,11,0,80,7.2317073170731705
earlier_diagnostic,BASE,BREADTH_MAJORITY_TREND,30,15,276,33,15,19,9.2
earlier_diagnostic,BASE,PRICE20_ONLY,56,16,592,206,0,55,10.571428571428571
earlier_diagnostic,STRESS,BREADTH_MAJORITY_TREND,30,15,276,33,15,19,9.2
earlier_diagnostic,STRESS,PRICE20_ONLY,56,16,592,206,0,55,10.571428571428571
