period,cost,model,price_pnl,dividends,commission,slippage,net_profit
evaluation,BASE,BREADTH_MAJORITY_TREND,-1423.8000000001157,2469.6,4518.962160000001,13883.799999999941,-17356.962160000054
evaluation,BASE,PRICE20_ONLY,-26793.70000000007,6252.0,5668.54776,17533.900000000085,-43744.147760000196
evaluation,STRESS,BREADTH_MAJORITY_TREND,-2170.300000000112,2426.3999999999996,8660.7366,23952.99999999976,-32357.636599999794
evaluation,STRESS,PRICE20_ONLY,-25670.90000000006,5783.2,10744.188560000002,29868.299999999876,-60500.18855999966
earlier_diagnostic,BASE,BREADTH_MAJORITY_TREND,89877.29999999996,6949.0,2998.0004,8920.299999999968,84907.99959999969
earlier_diagnostic,BASE,PRICE20_ONLY,-3678.400000000024,12892.599999999999,4276.59908,12782.000000000025,-7844.399079999886
earlier_diagnostic,STRESS,BREADTH_MAJORITY_TREND,88242.89999999997,6707.8,5859.1162,16752.000000000004,72339.58379999996
earlier_diagnostic,STRESS,PRICE20_ONLY,-3860.600000000042,12246.8,8208.248080000001,23535.999999999953,-23358.048079999862
