period,cost,model,decision_origins,entry_no_view_origins,no_view_with_zero_requested_quantity_and_null_cash_reference_verified,rearm_path_replayed
evaluation,BASE,BREADTH_MAJORITY_TREND,1604,12,True,True
evaluation,BASE,PRICE20_ONLY,1604,0,True,True
evaluation,STRESS,BREADTH_MAJORITY_TREND,1604,12,True,True
evaluation,STRESS,PRICE20_ONLY,1604,0,True,True
earlier_diagnostic,BASE,BREADTH_MAJORITY_TREND,1219,462,True,True
earlier_diagnostic,BASE,PRICE20_ONLY,1219,0,True,True
earlier_diagnostic,STRESS,BREADTH_MAJORITY_TREND,1219,462,True,True
earlier_diagnostic,STRESS,PRICE20_ONLY,1219,0,True,True
