period,cost,control,terminal_nav_difference,price_pnl_difference,dividend_difference,commission_difference,slippage_difference,reconciliation_error
evaluation,BASE,PRICE20_ONLY,26387.185600000143,25369.899999999954,-3782.4,-1149.5855999999994,-3650.100000000144,4.4565240386873484e-11
evaluation,BASE,REARM_RIDGE,-100490.53786000033,-85084.20000000011,-6567.999999999998,2141.237860000001,6697.100000000153,-6.548361852765083e-11
evaluation,BASE,PANIC_LEARNED_HALF,-76936.51344000018,-61827.400000000125,-1826.4,3243.113440000001,10039.600000000028,-3.092281986027956e-11
evaluation,STRESS,PRICE20_ONLY,28142.551959999866,23500.599999999948,-3356.8,-2083.451960000002,-5915.300000000116,-1.9917933968827128e-10
evaluation,STRESS,REARM_RIDGE,-106188.28731999994,-84618.3000000001,-6447.199999999999,3988.38732,11134.399999999725,-1.1641532182693481e-10
evaluation,STRESS,PANIC_LEARNED_HALF,-87130.86307999984,-62159.40000000013,-1827.1999999999998,6132.763080000001,17011.499999999738,3.637978807091713e-11
earlier_diagnostic,BASE,PRICE20_ONLY,92752.39867999958,93555.69999999998,-5943.5999999999985,-1278.59868,-3861.700000000057,-4.6475179260596633e-10
earlier_diagnostic,BASE,REARM_RIDGE,-18654.891780000296,-15362.800000000047,5010.0,2073.5917799999997,6228.499999999999,-2.510205376893282e-10
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,38975.247059999674,41992.99999999997,5972.5,2271.55294,6718.700000000002,-2.955857780762017e-10
earlier_diagnostic,STRESS,PRICE20_ONLY,95697.63187999983,92103.5,-5538.999999999999,-2349.131880000001,-6783.999999999949,-1.2369127944111824e-10
earlier_diagnostic,STRESS,REARM_RIDGE,-26983.977360000077,-16216.50000000003,4768.8,4024.3773600000004,11511.9,-4.729372449219227e-11
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,29285.861919999996,40571.39999999998,5731.3,4414.23808,12602.600000000004,2.000888343900442e-11
