period,cost,model,cycles,positive_cycles,positive_profit_sum,nonpositive_profit_sum,total_profit,largest_cycle_profit,largest_two_cycle_profits
evaluation,BASE,BREADTH_MAJORITY_TREND,62,15,75680.75677999991,-93037.71893999996,-17356.962160000054,27517.99436000001,42033.5454
evaluation,BASE,PRICE20_ONLY,82,14,107884.03828000001,-151628.1860400002,-43744.147760000196,28954.603999999992,53198.01447999998
evaluation,STRESS,BREADTH_MAJORITY_TREND,62,13,68756.55567999987,-101114.19227999967,-32357.63659999979,25603.95600000001,39400.16431999998
evaluation,STRESS,PRICE20_ONLY,82,14,99044.23300000018,-159544.42155999984,-60500.18855999966,28502.034000000043,50578.333840000094
earlier_diagnostic,BASE,BREADTH_MAJORITY_TREND,30,15,146441.15717999983,-61533.157580000174,84907.99959999966,57220.24047999998,98044.73823999992
earlier_diagnostic,BASE,PRICE20_ONLY,56,16,176205.85371999998,-184050.25279999987,-7844.399079999892,54307.47223999997,88073.22715999998
earlier_diagnostic,STRESS,BREADTH_MAJORITY_TREND,30,15,138205.10103999992,-65865.51723999999,72339.58379999993,56801.90124000004,95874.33420000004
earlier_diagnostic,STRESS,PRICE20_ONLY,56,16,166060.50760000007,-189418.55567999993,-23358.048079999866,53809.18176000001,85036.44432000004
