origin,active_groups,birth_added,snapshot_records,panic_budget,learned_budget,cash_budget,target
2013-05-31,1,True,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2013-06-03,2,True,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2013-06-04,2,False,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2013-06-05,2,False,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2013-06-06,2,False,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2013-06-07,2,False,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2013-06-13,2,False,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2013-06-14,2,False,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2013-06-17,2,False,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2013-06-18,2,False,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2013-06-19,2,False,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2013-06-20,2,False,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2013-06-21,2,False,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2013-06-24,2,False,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
2013-06-25,2,False,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
2013-06-26,2,False,6,0.3323012414048029,0.33384937929759856,0.33384937929759856,0.33230124140480294
2013-06-27,2,False,6,0.33240058106648224,0.3337997094667589,0.3337997094667589,0.33240058106648224
2013-06-28,2,False,6,0.3363802374174163,0.33180988129129185,0.33180988129129185,0.33638023741741635
2013-07-01,3,True,9,0.33594900162619923,0.33202549918690044,0.33202549918690044,0.3359490016261991
2013-07-02,3,False,9,0.3366342245785944,0.33168288771070287,0.33168288771070287,0.33663422457859443
2013-07-03,3,False,9,0.3359565122454606,0.3320217438772697,0.3320217438772697,0.33595651224546064
2013-07-04,3,False,9,0.3375222321082551,0.3312388839458724,0.3312388839458724,0.3375222321082551
2013-07-05,3,False,9,0.33830181621309946,0.33084909189345024,0.33084909189345024,0.3383018162130994
2013-07-08,3,False,9,0.33016204140722577,0.33491897929638703,0.33491897929638703,0.33016204140722555
2013-07-09,3,False,9,0.3294767436213955,0.3352616281893023,0.3352616281893023,0.0
2013-07-10,3,False,9,0.32914179346278427,0.3354291032686079,0.3354291032686079,0.0
2013-07-11,3,False,9,0.32914179346278427,0.3354291032686079,0.3354291032686079,0.0
2013-07-12,3,False,9,0.32914179346278427,0.3354291032686079,0.3354291032686079,0.0
2013-07-15,3,False,9,0.32914179346278427,0.3354291032686079,0.3354291032686079,0.0
2013-07-16,3,False,9,0.32914179346278427,0.3354291032686079,0.3354291032686079,0.0
2013-07-17,3,False,9,0.32914179346278427,0.3354291032686079,0.3354291032686079,0.0
2013-07-18,3,False,9,0.32914179346278427,0.3354291032686079,0.3354291032686079,0.0
2013-07-19,3,False,9,0.32914179346278427,0.3354291032686079,0.3354291032686079,0.0
2013-07-22,3,False,9,0.32914179346278427,0.3354291032686079,0.3354291032686079,0.0
2013-07-23,3,False,9,0.32914179346278427,0.3354291032686079,0.3354291032686079,0.0
2013-07-24,3,False,9,0.32914179346278427,0.3354291032686079,0.3354291032686079,0.0
2013-07-25,3,False,9,0.32914179346278427,0.3354291032686079,0.3354291032686079,0.0
2013-07-26,3,False,9,0.32914179346278427,0.3354291032686079,0.3354291032686079,0.0
2013-07-29,3,False,9,0.32914179346278427,0.3354291032686079,0.3354291032686079,0.0
2013-07-30,3,False,9,0.32914179346278427,0.3354291032686079,0.3354291032686079,0.0
2013-07-31,3,False,9,0.32914179346278427,0.3354291032686079,0.3354291032686079,0.0
2013-08-01,4,True,12,0.33020261424223174,0.33489869287888413,0.33489869287888413,0.0
