period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_target_origins,mean_exposure
evaluation,BASE,262,26,26,0,0,0.06430478062890337
evaluation,STRESS,262,26,26,0,0,0.0643543069660488
earlier_diagnostic,BASE,339,16,16,0,0,0.10902537334076222
earlier_diagnostic,STRESS,339,16,16,0,0,0.10910287787876216
