period,cost,decisions,net_sharpe,holding_closes,price_and_dividend_profit_before_fees,commission_and_slippage,net_profit,terminal_nav_difference_vs_91
evaluation,BASE,1604,0.8872360499563677,262,43100.00000000001,3552.597679999939,39547.40232000002,-9412.279060000146
evaluation,STRESS,1604,0.8212256045734793,262,42884.50000000001,6583.540320000016,36300.959679999854,-9900.338280000084
earlier_diagnostic,BASE,1219,0.5875782346256028,339,34629.09999999999,1938.0155599999755,32691.084440000035,1319.397399999958
earlier_diagnostic,STRESS,1219,0.5578399393070613,339,34556.99999999999,3722.5106,30834.48940000002,2527.304600000032
