period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,calendar_positive_origins,supplemented_idle_origins,positive_parent_increased_origins,mean_target
evaluation,IDLE_MONTH_EDGE_OPPORTUNITY,BASE,1604,824,780,0,510,388,0,0.4306715399889764
evaluation,FULL_MONTH_EDGE_OPPORTUNITY,BASE,1604,824,780,0,510,388,69,0.45478039787796337
evaluation,IDLE_MONTH_EDGE_OPPORTUNITY,STRESS,1604,824,780,0,510,388,0,0.43072572058104197
evaluation,FULL_MONTH_EDGE_OPPORTUNITY,STRESS,1604,824,780,0,510,388,69,0.4548430422198852
earlier_diagnostic,IDLE_MONTH_EDGE_OPPORTUNITY,BASE,1219,695,524,0,386,249,0,0.47648547933327645
earlier_diagnostic,FULL_MONTH_EDGE_OPPORTUNITY,BASE,1219,695,524,0,386,249,85,0.503534084086307
earlier_diagnostic,IDLE_MONTH_EDGE_OPPORTUNITY,STRESS,1219,696,523,0,386,244,0,0.47597320042794544
earlier_diagnostic,FULL_MONTH_EDGE_OPPORTUNITY,STRESS,1219,696,523,0,386,244,86,0.5037384686817642
