period,cost,model,fills,maximum_target_error
evaluation,BASE,IDLE_MONTH_EDGE_OPPORTUNITY,228,0.0
evaluation,STRESS,IDLE_MONTH_EDGE_OPPORTUNITY,228,0.0
earlier_diagnostic,BASE,IDLE_MONTH_EDGE_OPPORTUNITY,133,0.0
earlier_diagnostic,STRESS,IDLE_MONTH_EDGE_OPPORTUNITY,132,0.0
evaluation,BASE,FULL_MONTH_EDGE_OPPORTUNITY,216,0.0
evaluation,STRESS,FULL_MONTH_EDGE_OPPORTUNITY,216,0.0
earlier_diagnostic,BASE,FULL_MONTH_EDGE_OPPORTUNITY,135,0.0
earlier_diagnostic,STRESS,FULL_MONTH_EDGE_OPPORTUNITY,134,0.0
