cost,model,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,S1_POOLED_EPS,0.3015298717000006,0.04056213581148415,0.04634752376859467,0.11510174544765926,0.4026656901538516,-0.24564038957325626,1604,0.4446099751058914,26,466.82565999999997,1359.1999999999807,False,1.064108801074326e-10,0.004304664165867174,False
BASE,S2_MATCHED_SOOCHOW_EPS,0.3521692273000005,0.04657178797529313,0.052270019168239736,0.11679319627001675,0.44754335729793315,-0.29753769861858853,1604,0.4547859667502085,32,602.35454,1741.8999999999717,False,5.354650056688115e-11,0.010314316329676151,False
BASE,S3_POOLED_EPS_INFORMATION_QUALITY,0.4012492323000012,0.05221669781124211,0.05814369673109184,0.12058520192671848,0.4821793702881277,-0.18695626139718702,1604,0.3771429742181021,30,552.65354,1653.8999999999573,False,8.958522812463343e-11,0.01595922616562513,False
BASE,C0_ORIGINAL_GUOSEN_EPS,0.4729246066999963,0.06016599149265778,0.06364376040215372,0.10282158820621541,0.6189727421299115,-0.1237698051689185,1604,0.2955641247589512,10,277.97866,780.4999999999861,False,5.638867150992155e-11,0.0239085198470408,False
BASE,BUY_HOLD,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
STRESS,S1_POOLED_EPS,0.2798180297999962,0.037924478504181874,0.04393536613571519,0.1161962869820931,0.3781133397359421,-0.25684144684142884,1604,0.44926449375448935,24,878.5940400000001,2377.9000000000387,False,5.346123543858994e-11,0.001839533990439228,False
STRESS,S2_MATCHED_SOOCHOW_EPS,0.38948157179999887,0.05087873303082762,0.05607578435458084,0.11419327821606792,0.491060290330561,-0.2634995379742268,1604,0.44615578949525103,29,1098.68564,2943.2000000000394,False,8.162714948412031e-11,0.014793788517084974,False
STRESS,S3_POOLED_EPS_INFORMATION_QUALITY,0.3973200593999965,0.05177102149365316,0.05769563459181897,0.1203782363824878,0.47928625909170014,-0.189872993402265,1604,0.38120424765751565,27,997.5881200000001,2679.3000000000075,False,1.1459633242338896e-10,0.015686076979910514,False
STRESS,C0_ORIGINAL_GUOSEN_EPS,0.4607840595999979,0.05884296819417061,0.06235183435638879,0.10239490952499472,0.6089349035575702,-0.12363830315961839,1604,0.2926619683356106,10,552.6880800000001,1433.3000000000097,False,5.638867150992155e-11,0.022758023680427966,False
STRESS,BUY_HOLD,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,0.0,False
