ts_code,reports,first,last
000001.SZ,18,2019-03-07 00:00:00.000,2026-04-26 00:00:00.000
000002.SZ,6,2022-05-10 00:00:00.000,2024-04-07 00:00:00.000
000039.SZ,5,2018-08-31 00:00:00.000,2024-11-04 00:00:00.000
000060.SZ,4,2023-04-14 00:00:00.000,2024-09-01 00:00:00.000
000063.SZ,13,2017-08-15 00:00:00.000,2025-03-02 00:00:00.000
000100.SZ,3,2023-04-12 00:00:00.000,2024-02-26 00:00:00.000
000301.SZ,6,2022-04-19 00:00:00.000,2023-08-14 00:00:00.000
000333.SZ,11,2022-09-06 00:00:00.000,2026-04-08 00:00:00.000
000338.SZ,6,2018-08-29 00:00:00.000,2026-05-22 00:00:00.000
000400.SZ,8,2017-03-27 00:00:00.000,2025-08-25 00:00:00.000
000401.SZ,6,2020-01-07 00:00:00.000,2023-09-01 00:00:00.000
000408.SZ,1,2022-10-23 00:00:00.000,2022-10-23 00:00:00.000
000425.SZ,2,2025-03-03 00:00:00.000,2025-05-16 00:00:00.000
000539.SZ,5,2022-11-21 00:00:00.000,2023-11-01 00:00:00.000
000568.SZ,22,2020-11-03 00:00:00.000,2026-05-11 00:00:00.000
000596.SZ,17,2020-11-03 00:00:00.000,2026-05-11 00:00:00.000
000625.SZ,5,2022-06-29 00:00:00.000,2022-11-07 00:00:00.000
000630.SZ,6,2023-12-22 00:00:00.000,2026-04-22 00:00:00.000
000651.SZ,9,2021-08-26 00:00:00.000,2025-09-03 00:00:00.000
000703.SZ,2,2026-07-05 00:00:00.000,2026-08-12 00:00:00.000
000708.SZ,9,2022-03-11 00:00:00.000,2025-04-01 00:00:00.000
000725.SZ,13,2022-03-31 00:00:00.000,2025-11-27 00:00:00.000
000729.SZ,15,2023-02-06 00:00:00.000,2026-04-28 00:00:00.000
000768.SZ,1,2026-02-12 00:00:00.000,2026-02-12 00:00:00.000
000778.SZ,6,2022-07-26 00:00:00.000,2023-10-25 00:00:00.000
000786.SZ,10,2022-03-24 00:00:00.000,2025-08-21 00:00:00.000
000792.SZ,12,2022-04-13 00:00:00.000,2026-04-02 00:00:00.000
000807.SZ,10,2022-03-23 00:00:00.000,2026-04-06 00:00:00.000
000831.SZ,1,2025-06-12 00:00:00.000,2025-06-12 00:00:00.000
000858.SZ,23,2020-11-03 00:00:00.000,2026-03-08 00:00:00.000
000860.SZ,6,2020-08-30 00:00:00.000,2022-11-17 00:00:00.000
000876.SZ,2,2022-05-05 00:00:00.000,2023-03-31 00:00:00.000
000877.SZ,5,2022-03-25 00:00:00.000,2023-08-28 00:00:00.000
000878.SZ,9,2022-03-31 00:00:00.000,2026-04-12 00:00:00.000
000883.SZ,8,2022-06-06 00:00:00.000,2024-08-28 00:00:00.000
000895.SZ,9,2022-05-06 00:00:00.000,2025-10-29 00:00:00.000
000938.SZ,12,2022-03-28 00:00:00.000,2025-11-14 00:00:00.000
000960.SZ,7,2023-04-06 00:00:00.000,2025-08-25 00:00:00.000
000975.SZ,8,2024-01-03 00:00:00.000,2026-03-09 00:00:00.000
000977.SZ,3,2022-04-11 00:00:00.000,2024-06-02 00:00:00.000
000988.SZ,3,2022-03-31 00:00:00.000,2025-08-17 00:00:00.000
000999.SZ,9,2022-08-29 00:00:00.000,2025-05-12 00:00:00.000
001280.SZ,1,2026-02-11 00:00:00.000,2026-02-11 00:00:00.000
001289.SZ,10,2023-04-10 00:00:00.000,2026-05-06 00:00:00.000
001965.SZ,2,2023-08-21 00:00:00.000,2023-08-29 00:00:00.000
001979.SZ,3,2025-04-17 00:00:00.000,2026-03-25 00:00:00.000
002001.SZ,9,2024-08-23 00:00:00.000,2026-04-29 00:00:00.000
002027.SZ,15,2017-08-31 00:00:00.000,2026-05-05 00:00:00.000
002028.SZ,9,2023-03-02 00:00:00.000,2026-05-06 00:00:00.000
002032.SZ,7,2022-09-08 00:00:00.000,2026-02-27 00:00:00.000
002049.SZ,1,2023-04-14 00:00:00.000,2023-04-14 00:00:00.000
002050.SZ,16,2022-03-28 00:00:00.000,2026-04-08 00:00:00.000
002064.SZ,1,2022-05-05 00:00:00.000,2022-05-05 00:00:00.000
002074.SZ,1,2017-08-30 00:00:00.000,2017-08-30 00:00:00.000
002085.SZ,5,2024-09-29 00:00:00.000,2025-11-17 00:00:00.000
002120.SZ,8,2022-04-28 00:00:00.000,2025-10-31 00:00:00.000
002129.SZ,4,2022-07-26 00:00:00.000,2023-04-12 00:00:00.000
002142.SZ,21,2022-04-10 00:00:00.000,2026-04-26 00:00:00.000
002180.SZ,1,2022-12-13 00:00:00.000,2022-12-13 00:00:00.000
002202.SZ,9,2022-03-31 00:00:00.000,2025-10-26 00:00:00.000
002230.SZ,6,2022-04-22 00:00:00.000,2025-04-24 00:00:00.000
002241.SZ,6,2022-03-30 00:00:00.000,2025-08-25 00:00:00.000
002271.SZ,13,2022-04-14 00:00:00.000,2025-10-29 00:00:00.000
002299.SZ,11,2022-03-24 00:00:00.000,2026-04-28 00:00:00.000
002304.SZ,14,2020-11-03 00:00:00.000,2026-04-29 00:00:00.000
002311.SZ,13,2022-04-22 00:00:00.000,2025-10-29 00:00:00.000
002352.SZ,13,2022-04-01 00:00:00.000,2025-11-01 00:00:00.000
002353.SZ,3,2025-05-15 00:00:00.000,2025-10-29 00:00:00.000
002371.SZ,10,2022-03-14 00:00:00.000,2025-09-02 00:00:00.000
002384.SZ,7,2022-03-21 00:00:00.000,2025-05-12 00:00:00.000
002385.SZ,5,2022-07-19 00:00:00.000,2025-11-03 00:00:00.000
002415.SZ,18,2022-04-18 00:00:00.000,2026-07-29 00:00:00.000
002429.SZ,7,2023-08-21 00:00:00.000,2024-11-08 00:00:00.000
002459.SZ,4,2022-06-15 00:00:00.000,2024-04-02 00:00:00.000
002460.SZ,9,2022-04-01 00:00:00.000,2026-04-01 00:00:00.000
002463.SZ,7,2023-02-06 00:00:00.000,2025-08-27 00:00:00.000
002465.SZ,4,2023-12-17 00:00:00.000,2024-08-25 00:00:00.000
002466.SZ,10,2022-05-19 00:00:00.000,2026-04-01 00:00:00.000
002468.SZ,5,2023-11-01 00:00:00.000,2026-04-16 00:00:00.000
002475.SZ,7,2022-04-29 00:00:00.000,2025-08-28 00:00:00.000
002493.SZ,9,2022-04-29 00:00:00.000,2026-07-15 00:00:00.000
002508.SZ,8,2022-04-21 00:00:00.000,2025-05-09 00:00:00.000
002532.SZ,10,2022-04-11 00:00:00.000,2026-04-06 00:00:00.000
002558.SZ,2,2026-01-25 00:00:00.000,2026-05-05 00:00:00.000
002568.SZ,11,2022-12-07 00:00:00.000,2026-08-07 00:00:00.000
002572.SZ,14,2022-04-13 00:00:00.000,2025-11-05 00:00:00.000
002594.SZ,26,2022-03-07 00:00:00.000,2024-08-30 00:00:00.000
002601.SZ,12,2023-04-29 00:00:00.000,2025-10-28 00:00:00.000
002607.SZ,2,2023-02-06 00:00:00.000,2023-11-01 00:00:00.000
002624.SZ,6,2022-05-13 00:00:00.000,2023-04-21 00:00:00.000
002648.SZ,17,2022-04-18 00:00:00.000,2026-06-24 00:00:00.000
002653.SZ,6,2024-05-15 00:00:00.000,2026-04-21 00:00:00.000
002709.SZ,7,2022-04-11 00:00:00.000,2024-02-01 00:00:00.000
002714.SZ,16,2022-09-02 00:00:00.000,2026-04-26 00:00:00.000
002739.SZ,6,2022-05-10 00:00:00.000,2026-05-06 00:00:00.000
002756.SZ,13,2021-04-28 00:00:00.000,2026-04-29 00:00:00.000
002791.SZ,7,2022-04-28 00:00:00.000,2024-04-26 00:00:00.000
002797.SZ,5,2024-03-03 00:00:00.000,2026-05-06 00:00:00.000
002812.SZ,6,2022-07-14 00:00:00.000,2023-11-02 00:00:00.000
002821.SZ,3,2025-09-11 00:00:00.000,2026-04-26 00:00:00.000
002831.SZ,6,2024-09-02 00:00:00.000,2026-05-07 00:00:00.000
002837.SZ,16,2022-09-22 00:00:00.000,2025-08-24 00:00:00.000
002839.SZ,13,2022-03-29 00:00:00.000,2026-03-31 00:00:00.000
002841.SZ,12,2019-04-04 00:00:00.000,2026-04-19 00:00:00.000
002920.SZ,12,2022-04-18 00:00:00.000,2024-11-03 00:00:00.000
002938.SZ,6,2022-08-10 00:00:00.000,2025-08-15 00:00:00.000
003816.SZ,9,2024-02-27 00:00:00.000,2026-04-03 00:00:00.000
300014.SZ,13,2017-03-06 00:00:00.000,2026-05-08 00:00:00.000
300015.SZ,12,2022-04-29 00:00:00.000,2026-05-09 00:00:00.000
300017.SZ,1,2024-06-04 00:00:00.000,2024-06-04 00:00:00.000
300033.SZ,3,2023-07-27 00:00:00.000,2025-08-26 00:00:00.000
300058.SZ,5,2022-05-11 00:00:00.000,2024-09-01 00:00:00.000
300059.SZ,21,2022-03-10 00:00:00.000,2026-04-28 00:00:00.000
300122.SZ,6,2022-04-30 00:00:00.000,2023-11-01 00:00:00.000
300124.SZ,16,2017-08-25 00:00:00.000,2026-05-26 00:00:00.000
300133.SZ,11,2022-04-30 00:00:00.000,2026-04-29 00:00:00.000
300144.SZ,16,2022-04-25 00:00:00.000,2026-04-24 00:00:00.000
300146.SZ,2,2022-08-10 00:00:00.000,2023-03-21 00:00:00.000
300182.SZ,1,2020-09-08 00:00:00.000,2020-09-08 00:00:00.000
300223.SZ,6,2022-04-11 00:00:00.000,2026-05-06 00:00:00.000
300251.SZ,4,2023-05-15 00:00:00.000,2024-08-30 00:00:00.000
300274.SZ,8,2023-03-28 00:00:00.000,2026-04-02 00:00:00.000
300296.SZ,1,2024-01-09 00:00:00.000,2024-01-09 00:00:00.000
300308.SZ,10,2017-09-18 00:00:00.000,2025-04-22 00:00:00.000
300316.SZ,6,2022-04-29 00:00:00.000,2023-08-24 00:00:00.000
300394.SZ,12,2022-04-19 00:00:00.000,2025-04-29 00:00:00.000
300408.SZ,4,2022-05-10 00:00:00.000,2026-04-27 00:00:00.000
300413.SZ,14,2022-04-26 00:00:00.000,2026-04-29 00:00:00.000
300418.SZ,10,2023-04-21 00:00:00.000,2026-05-09 00:00:00.000
300433.SZ,8,2024-04-10 00:00:00.000,2026-05-18 00:00:00.000
300442.SZ,6,2023-08-03 00:00:00.000,2025-04-30 00:00:00.000
300450.SZ,3,2019-03-22 00:00:00.000,2022-08-29 00:00:00.000
300454.SZ,15,2022-04-21 00:00:00.000,2026-04-01 00:00:00.000
300496.SZ,7,2022-04-29 00:00:00.000,2025-05-08 00:00:00.000
