stockCode,stockName,infoCode,publishDate,orgCode,orgName,orgSName,title,attachPages,source_raw_path,directory_retrieved_at,ts_code
601088,中国神华,AP201711010995930869,2017-11-01 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2017年三季报点评：业绩符合预期，看好长期价值,4,data/raw/510300_forward_eps_csi_directory_v1/2017_0001.json,2026-09-06T21:22:53.427692+08:00,601088.SH
600438,通威股份,AP201711081020475607,2017-11-08 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：大手笔投资晶硅电池，扩大领先优势,3,data/raw/510300_forward_eps_csi_directory_v1/2017_0001.json,2026-09-06T21:22:53.427692+08:00,600438.SH
600438,通威股份,AP201711201052894114,2017-11-20 00:00:00.000,80000007,国信证券股份有限公司,国信证券,低成本光伏龙头初长成,41,data/raw/510300_forward_eps_csi_directory_v1/2017_0001.json,2026-09-06T21:22:53.427692+08:00,600438.SH
600050,中国联通,AP201712041061973289,2017-12-04 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：详拆联通ROE，未来或有较大改善空间,9,data/raw/510300_forward_eps_csi_directory_v1/2017_0001.json,2026-09-06T21:22:53.427692+08:00,600050.SH
600438,通威股份,AP201712181067345840,2017-12-18 00:00:00.000,80000007,国信证券股份有限公司,国信证券,重大事件快评：持股计划彰显高管信心,3,data/raw/510300_forward_eps_csi_directory_v1/2017_0001.json,2026-09-06T21:22:53.427692+08:00,600438.SH
600438,通威股份,AP201801091075431016,2018-01-09 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2017年业绩预告点评：高增长兑现，未来成长周期启动,4,data/raw/510300_forward_eps_csi_directory_v1/2018_0001.json,2026-09-06T21:22:57.583941+08:00,600438.SH
600754,锦江股份,AP201803051098534689,2018-03-05 00:00:00.000,80000007,国信证券股份有限公司,国信证券,系列分析之七：1月整体增势良好，中高端表现突出,6,data/raw/510300_forward_eps_csi_directory_v1/2018_0001.json,2026-09-06T21:22:57.583941+08:00,600754.SH
601799,星宇股份,AP201805071138405278,2018-05-07 00:00:00.000,80000007,国信证券股份有限公司,国信证券,LED前大灯元年，一季报开门红,4,data/raw/510300_forward_eps_csi_directory_v1/2018_0001.json,2026-09-06T21:22:57.583941+08:00,601799.SH
601360,三六零,AP201805081139237789,2018-05-08 00:00:00.000,80000007,国信证券股份有限公司,国信证券,纯正互联网标的欲从物联网获取新成长,34,data/raw/510300_forward_eps_csi_directory_v1/2018_0001.json,2026-09-06T21:22:57.583941+08:00,601360.SH
000338,潍柴动力,AP201808291184453839,2018-08-29 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2018年中报点评：中报符合预期，低估值蓝筹稳健增长,4,data/raw/510300_forward_eps_csi_directory_v1/2018_0001.json,2026-09-06T21:22:57.583941+08:00,000338.SZ
601360,三六零,AP201808301185041902,2018-08-30 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2018年半年报点评：扩展安全内涵，提升盈利水平,4,data/raw/510300_forward_eps_csi_directory_v1/2018_0001.json,2026-09-06T21:22:57.583941+08:00,601360.SH
000039,中集集团,AP201808311185975845,2018-08-31 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2018年半年报点评：中报业绩符合预期，多业务持续稳健增长,5,data/raw/510300_forward_eps_csi_directory_v1/2018_0001.json,2026-09-06T21:22:57.583941+08:00,000039.SZ
600176,中国巨石,AP201810191216840960,2018-10-19 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2018年三季报点评：盈利稳健增长，产能有序投放,4,data/raw/510300_forward_eps_csi_directory_v1/2018_0001.json,2026-09-06T21:22:57.583941+08:00,600176.SH
000338,潍柴动力,AP201811011229685729,2018-11-01 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2018三季报点评：前三季度营收+5.95%，重卡龙头稳健增长,5,data/raw/510300_forward_eps_csi_directory_v1/2018_0001.json,2026-09-06T21:22:57.583941+08:00,000338.SZ
603899,晨光文具,AP201812121267820190,2018-12-12 00:00:00.000,80000007,国信证券股份有限公司,国信证券,海量市场，快速成长,42,data/raw/510300_forward_eps_csi_directory_v1/2018_0001.json,2026-09-06T21:22:57.583941+08:00,603899.SH
000001,平安银行,AP201903071303507274,2019-03-07 00:00:00.000,80000007,国信证券股份有限公司,国信证券,2018年报业绩点评：零售转型持续推进,5,data/raw/510300_forward_eps_csi_directory_v1/2019_0001.json,2026-09-06T21:22:55.714162+08:00,000001.SZ
