period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_target_origins,mean_exposure,minimum_panic_budget,maximum_panic_budget,mean_panic_budget
evaluation,BASE,262,26,26,0,0,0.0979934062347456,0.41457674565053243,0.43367517955086377,0.42444263313276387
evaluation,STRESS,262,26,26,0,0,0.09804626734829339,0.41457674565053243,0.43367517955086377,0.42444263313276387
earlier_diagnostic,BASE,339,16,17,0,0,0.15333327842459227,0.4299834244150116,0.4767674977560561,0.4413092918733419
earlier_diagnostic,STRESS,339,16,17,0,0,0.15341049674962612,0.4299834244150116,0.4767674977560561,0.4413092918733419
