date,panic_budget,learned_budget,budget_status,complete_reference_days,panic_state,learned_state,target,panic_reference_return,learned_reference_return
2012-08-15,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-08-16,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-08-17,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-08-20,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-08-21,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-08-22,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-08-23,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-08-24,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-08-27,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-08-28,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-08-29,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-08-30,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-08-31,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-03,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-04,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-05,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-06,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-07,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-10,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-11,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-12,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-13,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-14,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-17,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-18,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-19,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-20,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-21,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-24,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-25,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-26,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-27,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-09-28,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-08,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-09,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-10,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-11,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-12,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-15,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-16,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-17,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-18,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-19,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-22,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-23,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-24,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-25,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-26,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-29,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-30,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-10-31,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-01,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-02,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-05,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-06,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-07,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-08,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-09,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-12,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-13,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-14,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-15,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-16,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-19,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-20,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-21,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-22,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-23,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-26,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-27,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-28,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-29,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-11-30,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-03,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-04,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-05,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-06,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-07,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-10,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-11,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-12,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-13,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-14,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-17,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-18,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-19,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-20,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-21,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-24,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-25,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-26,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-27,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-28,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2012-12-31,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-04,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-07,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-08,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-09,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-10,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-11,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-14,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-15,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-16,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-17,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-18,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-21,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-22,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-23,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-24,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-25,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-28,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-29,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-30,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-01-31,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-02-01,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-02-04,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-02-05,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-02-06,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-02-07,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-02-08,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-02-18,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-02-19,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-02-20,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-02-21,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-02-22,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-02-25,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-02-26,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-02-27,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-02-28,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-01,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-04,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-05,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-06,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-07,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-08,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-11,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-12,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-13,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-14,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-15,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-18,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-19,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-20,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-21,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-22,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-25,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-26,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-27,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-28,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-03-29,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-01,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-02,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-03,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-08,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-09,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-10,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-11,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-12,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-15,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-16,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-17,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-18,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-19,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-22,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-23,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-24,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-25,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-04-26,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-02,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-03,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-06,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-07,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-08,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-09,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-10,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-13,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-14,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-15,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-16,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-17,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-20,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-21,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-22,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-23,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-24,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-27,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-28,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-29,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-30,,,NO_VIEW_OUTSIDE_DECISION_PERIOD,0,,,,,
2013-05-31,0.5,0.5,INITIAL_UNIFORM_MIXTURE,0,0.0,0.0,0.0,,
2013-06-03,0.5,0.5,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,1,0.0,0.0,0.0,0.0,0.0
2013-06-04,0.5,0.5,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,2,0.0,0.0,0.0,0.0,0.0
2013-06-05,0.5,0.5,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,3,0.0,0.0,0.0,0.0,0.0
2013-06-06,0.5,0.5,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,4,0.0,0.0,0.0,0.0,0.0
2013-06-07,0.5,0.5,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,5,0.0,0.0,0.0,0.0,0.0
2013-06-13,0.5,0.5,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,6,0.0,0.0,0.0,0.0,0.0
2013-06-14,0.5,0.5,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,7,0.0,0.0,0.0,0.0,0.0
2013-06-17,0.5,0.5,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,8,0.0,0.0,0.0,0.0,0.0
2013-06-18,0.5,0.5,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,9,0.0,0.0,0.0,0.0,0.0
2013-06-19,0.5,0.5,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,10,0.0,0.0,0.0,0.0,0.0
2013-06-20,0.5,0.5,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,11,0.0,0.0,0.0,0.0,0.0
2013-06-21,0.5,0.5,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,12,0.0,0.0,0.0,0.0,0.0
2013-06-24,0.5,0.5,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,13,0.0,0.0,0.0,0.0,0.0
2013-06-25,0.5,0.5,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,14,1.0,0.0,0.5,0.0,0.0
2013-06-26,0.499717156360067,0.5002828436399329,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,15,1.0,0.0,0.499717156360067,-0.0033883734000000887,0.0
2013-06-27,0.4997552350141511,0.5002447649858489,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,16,1.0,0.0,0.4997552350141511,0.0004570486514934302,0.0
2013-06-28,0.5012642524369172,0.4987357475630828,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,17,1.0,0.0,0.5012642524369172,0.0182735941381702,0.0
2013-07-01,0.5016000462810943,0.49839995371890566,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,18,1.0,0.0,0.5016000462810943,0.004037774037112474,0.0
2013-07-02,0.5018602851964451,0.4981397148035549,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,19,1.0,0.0,0.5018602851964451,0.0031278613205225625,0.0
2013-07-03,0.5016744827165431,0.49832551728345686,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,20,1.0,0.0,0.5016744827165431,-0.0022272202215329884,0.0
2013-07-04,0.50226758911655,0.49773241088345,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,21,1.0,0.0,0.50226758911655,0.007143013773624363,0.0
2013-07-05,0.502562563347507,0.49743743665249296,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,22,1.0,0.0,0.502562563347507,0.003546176499234388,0.0
2013-07-08,0.5002865449613452,0.49971345503865483,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,23,1.0,0.0,0.5002865449613452,-0.026944047458769993,0.0
2013-07-09,0.500097197264861,0.499902802735139,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,24,0.0,0.0,0.0,-0.0022696829246654504,0.0
2013-07-10,0.500004677086126,0.49999532291387405,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,25,0.0,0.0,0.0,-0.0011096699295432,0.0
2013-07-11,0.500004677086126,0.49999532291387405,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,26,0.0,0.0,0.0,0.0,0.0
2013-07-12,0.5000046770861258,0.49999532291387416,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,27,0.0,0.0,0.0,0.0,0.0
2013-07-15,0.5000046770861258,0.49999532291387416,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,28,0.0,0.0,0.0,0.0,0.0
2013-07-16,0.5000046770861258,0.49999532291387416,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,29,0.0,0.0,0.0,0.0,0.0
2013-07-17,0.500004677086126,0.49999532291387405,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,30,0.0,0.0,0.0,0.0,0.0
2013-07-18,0.5000046770861258,0.49999532291387416,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,31,0.0,0.0,0.0,0.0,0.0
2013-07-19,0.500004677086126,0.49999532291387405,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,32,0.0,0.0,0.0,0.0,0.0
2013-07-22,0.5000046770861258,0.49999532291387416,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,33,0.0,0.0,0.0,0.0,0.0
2013-07-23,0.5000046770861257,0.4999953229138743,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,34,0.0,0.0,0.0,0.0,0.0
2013-07-24,0.500004677086126,0.49999532291387405,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,35,0.0,0.0,0.0,0.0,0.0
2013-07-25,0.500004677086126,0.49999532291387405,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,36,0.0,0.0,0.0,0.0,0.0
2013-07-26,0.500004677086126,0.49999532291387405,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,37,0.0,0.0,0.0,0.0,0.0
2013-07-29,0.5000046770861258,0.49999532291387416,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,38,0.0,0.0,0.0,0.0,0.0
2013-07-30,0.5000046770861257,0.4999953229138743,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,39,0.0,0.0,0.0,0.0,0.0
2013-07-31,0.5000046770861258,0.49999532291387416,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,40,0.0,0.0,0.0,0.0,0.0
2013-08-01,0.5000046770861258,0.49999532291387416,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,41,0.0,0.0,0.0,0.0,0.0
2013-08-02,0.5000046770861257,0.4999953229138743,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,42,0.0,0.0,0.0,0.0,0.0
2013-08-05,0.5000046770861257,0.4999953229138743,UNIVERSAL_MIXTURE_BUDGET_AVAILABLE,43,0.0,0.0,0.0,0.0,0.0
