date,history_available,reference_year_net_return,positive_history
2013-07-03,False,,False
2013-07-04,False,,False
2013-07-05,False,,False
2013-07-08,False,,False
2013-07-09,False,,False
2013-07-10,False,,False
2013-07-11,False,,False
2013-07-12,False,,False
2013-07-15,False,,False
2013-07-16,False,,False
2013-07-17,False,,False
2013-07-18,False,,False
2013-07-19,False,,False
2013-07-22,False,,False
2013-07-23,False,,False
2013-07-24,False,,False
2013-07-25,False,,False
2013-07-26,False,,False
2013-07-29,False,,False
2013-07-30,False,,False
2013-07-31,False,,False
2013-08-01,False,,False
2013-08-02,False,,False
2013-08-05,False,,False
2013-08-06,False,,False
2013-08-07,False,,False
2013-08-08,False,,False
2013-08-09,False,,False
2013-08-12,False,,False
2013-08-13,False,,False
2013-08-14,False,,False
2013-08-15,False,,False
2013-08-16,False,,False
2013-08-19,False,,False
2013-08-20,False,,False
2013-08-21,False,,False
2013-08-22,False,,False
2013-08-23,False,,False
2013-08-26,False,,False
2013-08-27,False,,False
2013-08-28,False,,False
2013-08-29,False,,False
2013-08-30,False,,False
2013-09-02,False,,False
2013-09-03,False,,False
2013-09-04,False,,False
2013-09-05,False,,False
2013-09-06,False,,False
2013-09-09,False,,False
2013-09-10,False,,False
2013-09-11,False,,False
2013-09-12,False,,False
2013-09-13,False,,False
2013-09-16,False,,False
2013-09-17,False,,False
2013-09-18,False,,False
2013-09-23,False,,False
2013-09-24,False,,False
2013-09-25,False,,False
2013-09-26,False,,False
2013-09-27,False,,False
2013-09-30,False,,False
2013-10-08,False,,False
2013-10-09,False,,False
2013-10-10,False,,False
2013-10-11,False,,False
2013-10-14,False,,False
2013-10-15,False,,False
2013-10-16,False,,False
2013-10-17,False,,False
2013-10-18,False,,False
2013-10-21,False,,False
2013-10-22,False,,False
2013-10-23,False,,False
2013-10-24,False,,False
2013-10-25,False,,False
2013-10-28,False,,False
2013-10-29,False,,False
2013-10-30,False,,False
2013-10-31,False,,False
2013-11-01,False,,False
2013-11-04,False,,False
2013-11-05,False,,False
2013-11-06,False,,False
2013-11-07,False,,False
2013-11-08,False,,False
2013-11-11,False,,False
2013-11-12,False,,False
2013-11-13,False,,False
2013-11-14,False,,False
2013-11-15,False,,False
2013-11-18,False,,False
2013-11-19,False,,False
2013-11-20,False,,False
2013-11-21,False,,False
2013-11-22,False,,False
2013-11-25,False,,False
2013-11-26,False,,False
2013-11-27,False,,False
2013-11-28,False,,False
2013-11-29,False,,False
2013-12-02,False,,False
2013-12-03,False,,False
2013-12-04,False,,False
2013-12-05,False,,False
2013-12-06,False,,False
2013-12-09,False,,False
2013-12-10,False,,False
2013-12-11,False,,False
2013-12-12,False,,False
2013-12-13,False,,False
2013-12-16,False,,False
2013-12-17,False,,False
2013-12-18,False,,False
2013-12-19,False,,False
2013-12-20,False,,False
2013-12-23,False,,False
2013-12-24,False,,False
2013-12-25,False,,False
2013-12-26,False,,False
2013-12-27,False,,False
2013-12-30,False,,False
2013-12-31,False,,False
2014-01-02,False,,False
2014-01-03,False,,False
2014-01-06,False,,False
2014-01-07,False,,False
2014-01-08,False,,False
2014-01-09,False,,False
2014-01-10,False,,False
2014-01-13,False,,False
2014-01-14,False,,False
2014-01-15,False,,False
2014-01-16,False,,False
2014-01-17,False,,False
2014-01-20,False,,False
2014-01-21,False,,False
2014-01-22,False,,False
2014-01-23,False,,False
2014-01-24,False,,False
2014-01-27,False,,False
2014-01-28,False,,False
2014-01-29,False,,False
2014-01-30,False,,False
2014-02-07,False,,False
2014-02-10,False,,False
2014-02-11,False,,False
2014-02-12,False,,False
2014-02-13,False,,False
2014-02-14,False,,False
2014-02-17,False,,False
2014-02-18,False,,False
2014-02-19,False,,False
2014-02-20,False,,False
2014-02-21,False,,False
2014-02-24,False,,False
2014-02-25,False,,False
2014-02-26,False,,False
2014-02-27,False,,False
2014-02-28,False,,False
2014-03-03,False,,False
2014-03-04,False,,False
2014-03-05,False,,False
2014-03-06,False,,False
2014-03-07,False,,False
2014-03-10,False,,False
2014-03-11,False,,False
2014-03-12,False,,False
2014-03-13,False,,False
2014-03-14,False,,False
2014-03-17,False,,False
2014-03-18,False,,False
2014-03-19,False,,False
2014-03-20,False,,False
2014-03-21,False,,False
2014-03-24,False,,False
2014-03-25,False,,False
2014-03-26,False,,False
2014-03-27,False,,False
2014-03-28,False,,False
2014-03-31,False,,False
2014-04-01,False,,False
2014-04-02,False,,False
2014-04-03,False,,False
2014-04-04,False,,False
2014-04-08,False,,False
