cost,model,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,annualized_return_excess_vs_buy_hold,meets_point_target
BASE,POSITIVE_SELF_YEAR,原策略过去一年赚钱才接受新进入,0.28444543650000087,0.03848980650526452,0.04065625476673663,0.07637102835879803,0.532351804610118,-0.1148637699970404,1604,0.1511550492613909,46,2180.2127,6608.3999999999105,False,2.987121661135461e-11,0.002232334859647543,False
BASE,REARM_RIDGE,原线性退出及等待新机会,0.4156678785000001,0.053843129510896016,0.0555106211421822,0.07875318622540121,0.7048682574353758,-0.10591213630792773,1604,0.15681902516459678,48,2377.7243,7186.699999999788,False,5.3006488087703474e-11,0.01758565786527904,False
BASE,BUY_HOLD,买入持有,0.26625532120000167,0.036257471645616976,0.051838074484355,0.1800562146602094,0.28789939065519343,-0.4095181596707963,1604,0.9526549098848204,2,85.73576,290.400000000011,False,8.185452315956354e-11,0.0,False
STRESS,POSITIVE_SELF_YEAR,原策略过去一年赚钱才接受新进入,0.24423939640000047,0.033518907425616404,0.03585678024550303,0.07635501435296689,0.4696060965917396,-0.1265484441305962,1604,0.15118423911748965,46,4289.32072,11772.900000000045,False,3.177547114319168e-11,-0.0025660370881262426,False
STRESS,REARM_RIDGE,原线性退出及等待新机会,0.3691532536000016,0.048544598201058685,0.050466389528222085,0.07871400063444749,0.6411361272639541,-0.11010739189022936,1604,0.15683214718068728,48,4672.34928,12818.600000000035,False,7.51469997339882e-11,0.012459653687316039,False
STRESS,BUY_HOLD,买入持有,0.26485864240000195,0.036084944513742646,0.05169164368473765,0.18016774072774588,0.28690843031022767,-0.4097147841252319,1604,0.9532622781788082,2,171.47152,483.99999999998965,False,6.184563972055912e-11,0.0,False
