period,cost,net_sharpe,cycles,holding_closes,gross_price_dividend_profit,commission_and_slippage,net_profit
evaluation,BASE,0.9903173114395144,102,341,124843.49999999996,31657.207860000068,93186.2921399998
evaluation,STRESS,0.726619804922134,102,341,119295.19999999997,55475.11592000009,63820.08407999971
earlier_diagnostic,BASE,0.8709845445585505,97,356,112565.6,30502.476019999907,82063.12397999997
earlier_diagnostic,STRESS,0.6057569748756635,98,361,109048.59999999998,56152.62708000001,52895.97291999977
