period,cost,left,right,terminal_nav_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,PRICE_CONFIRMED_STAGED_ENTRY,FULL_REFERENCE_EXECUTION,-24976.92992000014,-25290.29999999999,-505.59999999999854,-209.67007999999987,-609.2999999999292
evaluation,BASE,FULL_REFERENCE_EXECUTION,REARM_RIDGE,-10.052379999950062,-7.699999999982538,0.0,0.5523800000000847,1.7999999999992724
evaluation,STRESS,PRICE_CONFIRMED_STAGED_ENTRY,FULL_REFERENCE_EXECUTION,-23702.024760000175,-24715.499999999985,-488.0000000000018,-408.47523999999976,-1093.0000000000182
evaluation,STRESS,FULL_REFERENCE_EXECUTION,REARM_RIDGE,-1.4784800000488758,-7.2999999999883585,16.00000000000182,2.678479999999581,7.5
earlier_diagnostic,BASE,PRICE_CONFIRMED_STAGED_ENTRY,FULL_REFERENCE_EXECUTION,-17995.59465999977,-18084.900000000023,-21.0,-26.305339999999887,-83.99999999998818
earlier_diagnostic,BASE,FULL_REFERENCE_EXECUTION,REARM_RIDGE,-1.3466000000480562,-0.8000000000029104,0.0,0.14660000000003492,0.4000000000005457
earlier_diagnostic,STRESS,PRICE_CONFIRMED_STAGED_ENTRY,FULL_REFERENCE_EXECUTION,-17712.354080000136,-17910.60000000002,-21.0,-52.64592000000016,-166.59999999998854
earlier_diagnostic,STRESS,FULL_REFERENCE_EXECUTION,REARM_RIDGE,105.54132000001846,109.90000000000873,0.0,1.1586800000002313,3.199999999999818
