period,cost,invalid_source_sharpe,corrected_source_sharpe,terminal_nav_correction
evaluation,BASE,0.7118550331145045,0.5901689292765501,-3983.467000000385
evaluation,STRESS,0.6462392896724672,0.5218699626436595,-5249.648799999951
earlier_diagnostic,BASE,0.69731409074956,0.6577484351846178,12477.598559999915
earlier_diagnostic,STRESS,0.6769457408599356,0.6350560376534667,11254.599159999734
