period,cost,model,holding_closes,buy_trades,sell_trades,additional_buy_trades,unfilled_requests,mean_exposure
evaluation,BASE,PRICE_CONFIRMED_STAGED_ENTRY,252,46,24,22,0,0.13059750617476215
evaluation,BASE,FULL_REFERENCE_EXECUTION,252,24,24,0,0,0.15684196507964632
evaluation,STRESS,PRICE_CONFIRMED_STAGED_ENTRY,252,46,24,22,0,0.13058777312295558
evaluation,STRESS,FULL_REFERENCE_EXECUTION,252,24,24,0,0,0.15690505930411766
earlier_diagnostic,BASE,PRICE_CONFIRMED_STAGED_ENTRY,299,18,9,9,0,0.23682625431879734
earlier_diagnostic,BASE,FULL_REFERENCE_EXECUTION,299,9,9,0,0,0.24448678491718348
earlier_diagnostic,STRESS,PRICE_CONFIRMED_STAGED_ENTRY,299,18,9,9,0,0.2367454999620027
earlier_diagnostic,STRESS,FULL_REFERENCE_EXECUTION,299,9,9,0,0,0.2445573749866343
