origin,execution_date,origin_index,simulation_only,forecast_return_60,latest_valid_forecast_origin,forecast_age_trading_days,new_exit_trigger,exit_reasons,requested_quantity,reference_weight,action,signal_state,score,estimated_cost,reference_close,mu5,variance5,nav_at_decision
2024-06-28,2024-07-01,2938,True,0.08174796096543992,2024-06-28,0.0,True,含分红价格连续两个收盘不高于一百二十日均线,-55100,0.0,独立退出条件触发，清仓请求持续到成交,EXIT_PENDING_UNTIL_FILLED,,,,,,
2025-01-24,2025-01-27,3080,True,,2024-10-31,60.0,True,最近一次有效盈利预测已满六十交易日，且没有更新,-12000,0.0,独立退出条件触发，清仓请求持续到成交,EXIT_PENDING_UNTIL_FILLED,,,,,,
2025-03-31,2025-04-01,3120,True,0.053177166701394656,2025-03-31,0.0,True,含分红价格连续两个收盘不高于一百二十日均线,-47900,0.0,独立退出条件触发，清仓请求持续到成交,EXIT_PENDING_UNTIL_FILLED,,,,,,
