group_id,start_date,mature_date,states,signal_count
1,2013-06-17,2013-06-25,10.0,2.0
2,2013-06-28,2013-07-12,18.0,2.0
3,2013-09-11,2013-09-26,8.0,1.0
4,2013-10-29,2013-11-12,18.0,2.0
5,2013-11-15,2013-11-19,2.0,2.0
6,2013-12-19,2014-01-03,18.0,2.0
7,2014-02-27,2014-03-13,18.0,2.0
8,2014-07-23,2014-10-30,81.0,2.0
9,2014-11-04,2015-01-20,81.0,2.0
10,2015-01-23,2015-02-03,6.0,1.0
11,2015-02-06,2015-05-12,94.0,2.0
12,2015-05-15,2015-06-23,32.0,2.0
13,2015-06-24,2015-06-29,4.0,2.0
14,2015-08-27,2015-09-14,18.0,2.0
15,2015-09-29,2015-12-29,63.0,3.0
16,2016-01-04,2016-01-05,,
17,2016-01-08,2016-01-12,1.0,1.0
18,2016-01-13,2016-01-27,18.0,2.0
19,2016-05-03,2016-07-28,87.0,3.0
20,2016-08-02,2016-11-03,69.0,3.0
21,2016-11-08,2017-02-08,70.0,2.0
22,2017-02-13,2017-05-17,75.0,3.0
23,2017-05-18,2017-08-14,78.0,2.0
24,2017-08-17,2018-02-09,157.0,2.0
25,2018-02-13,2018-03-06,14.0,2.0
26,2018-03-28,2018-04-13,18.0,2.0
27,2018-04-19,2018-05-07,18.0,2.0
28,2018-06-25,2018-06-28,4.0,2.0
29,2018-10-09,2018-10-19,7.0,1.0
30,2018-12-25,2019-01-10,18.0,2.0
31,2019-02-11,2019-05-07,72.0,3.0
32,2019-05-10,2019-07-10,50.0,2.0
33,2019-09-04,2019-09-18,8.0,1.0
34,2019-11-05,2019-11-07,1.0,1.0
35,2019-12-31,2020-01-16,10.0,1.0
36,2020-02-05,2020-03-17,44.0,3.0
37,2020-03-20,2020-05-26,63.0,3.0
38,2020-06-22,2020-09-23,91.0,3.0
39,2020-11-06,2020-11-09,,
40,2020-11-24,2020-11-26,1.0,1.0
41,2020-12-02,2020-12-04,1.0,1.0
42,2021-01-05,2021-03-01,49.0,2.0
43,2021-03-11,2021-03-25,13.0,2.0
44,2021-05-28,2021-05-31,,
45,2021-06-08,2021-07-28,44.0,3.0
46,2021-07-29,2021-08-11,16.0,2.0
47,2021-10-29,2022-01-24,76.0,3.0
48,2022-01-27,2022-02-17,18.0,2.0
49,2022-03-11,2022-03-16,4.0,2.0
50,2022-04-25,2022-05-12,18.0,2.0
51,2022-05-13,2022-08-04,65.0,2.0
52,2022-08-05,2022-09-08,28.0,3.0
53,2022-09-21,2022-10-12,18.0,2.0
54,2022-10-27,2022-11-07,12.0,2.0
55,2023-01-17,2023-02-07,9.0,1.0
56,2023-04-18,2023-04-21,2.0,1.0
57,2023-05-29,2023-06-12,18.0,2.0
58,2023-07-31,2023-08-02,1.0,1.0
59,2023-08-07,2023-08-09,1.0,1.0
60,2023-08-23,2023-09-05,16.0,2.0
61,2023-10-18,2023-11-01,18.0,2.0
62,2023-11-29,2023-12-13,18.0,2.0
63,2024-02-19,2024-05-22,73.0,2.0
64,2024-05-23,2024-07-09,48.0,3.0
65,2024-07-12,2024-09-20,58.0,3.0
66,2024-09-25,2024-10-10,8.0,2.0
67,2025-01-08,2025-01-22,9.0,1.0
68,2025-02-17,2025-02-20,2.0,1.0
69,2025-04-09,2025-07-09,88.0,3.0
70,2025-07-11,2025-10-14,96.0,2.0
71,2025-10-17,2026-01-13,67.0,3.0
72,2026-01-16,2026-02-10,18.0,3.0
73,2026-03-25,2026-04-09,18.0,2.0
74,2026-04-22,2026-07-20,65.0,2.0
75,2026-07-21,,18.0,2.0
