fit_index,fit_origin,complete_nonoverlapping_groups,states,all_three_tasks_present,supports_10_groups_100_states
632,2014-12-31,8,173,True,False
633,2015-01-05,8,173,True,False
653,2015-02-02,9,254,True,False
668,2015-03-02,10,260,True,True
690,2015-04-01,10,260,True,True
711,2015-05-04,10,260,True,True
731,2015-06-01,11,354,True,True
752,2015-07-01,13,390,True,True
775,2015-08-03,13,390,True,True
796,2015-09-01,13,390,True,True
816,2015-10-08,14,408,True,True
833,2015-11-02,14,408,True,True
854,2015-12-01,14,408,True,True
877,2016-01-04,15,471,True,True
897,2016-02-01,17,490,True,True
913,2016-03-01,17,490,True,True
936,2016-04-01,17,490,True,True
956,2016-05-03,17,490,True,True
977,2016-06-01,17,490,True,True
997,2016-07-01,17,490,True,True
1018,2016-08-01,18,577,True,True
1041,2016-09-01,18,577,True,True
1061,2016-10-10,18,577,True,True
1077,2016-11-01,18,577,True,True
1099,2016-12-01,19,646,True,True
1121,2017-01-03,19,646,True,True
1139,2017-02-03,19,646,True,True
1157,2017-03-01,20,716,True,True
1180,2017-04-05,20,716,True,True
1198,2017-05-02,20,716,True,True
1218,2017-06-01,20,781,True,True
1240,2017-07-03,20,781,True,True
1261,2017-08-01,20,781,True,True
1284,2017-09-01,20,841,True,True
1305,2017-10-09,20,841,True,True
1322,2017-11-01,20,841,True,True
1344,2017-12-01,20,841,True,True
1365,2018-01-02,20,841,True,True
1387,2018-02-01,20,841,True,True
1402,2018-03-01,20,990,True,True
1424,2018-04-02,20,986,True,True
1442,2018-05-02,20,1002,True,True
1464,2018-06-01,20,1002,True,True
1484,2018-07-02,20,988,True,True
1506,2018-08-01,20,988,True,True
1529,2018-09-03,20,988,True,True
1548,2018-10-08,20,988,True,True
1566,2018-11-01,20,914,True,True
1588,2018-12-03,20,914,True,True
1608,2019-01-02,20,914,True,True
1630,2019-02-01,20,851,True,True
1645,2019-03-01,20,851,True,True
1666,2019-04-01,20,851,True,True
1687,2019-05-06,20,851,True,True
1707,2019-06-03,20,917,True,True
1726,2019-07-01,20,917,True,True
1749,2019-08-01,20,873,True,True
1771,2019-09-02,20,873,True,True
1791,2019-10-08,20,849,True,True
1809,2019-11-01,20,849,True,True
1830,2019-12-02,20,846,True,True
1852,2020-01-02,20,846,True,True
1868,2020-02-03,20,838,True,True
1888,2020-03-02,20,838,True,True
1910,2020-04-01,20,819,True,True
1931,2020-05-06,20,819,True,True
1949,2020-06-01,20,881,True,True
1969,2020-07-01,20,881,True,True
1992,2020-08-03,20,881,True,True
2013,2020-09-01,20,881,True,True
2035,2020-10-09,20,954,True,True
2051,2020-11-02,20,954,True,True
2072,2020-12-01,20,868,True,True
2095,2021-01-04,20,800,True,True
2115,2021-02-01,20,800,True,True
2130,2021-03-01,20,779,True,True
2153,2021-04-01,20,717,True,True
2174,2021-05-06,20,717,True,True
2192,2021-06-01,20,717,True,True
2213,2021-07-01,20,717,True,True
2235,2021-08-02,20,683,True,True
2257,2021-09-01,20,542,True,True
2277,2021-10-08,20,542,True,True
2293,2021-11-01,20,542,True,True
2315,2021-12-01,20,542,True,True
2338,2022-01-04,20,542,True,True
2357,2022-02-07,20,604,True,True
2373,2022-03-01,20,604,True,True
2396,2022-04-01,20,590,True,True
2415,2022-05-05,20,590,True,True
2434,2022-06-01,20,604,True,True
2455,2022-07-01,20,604,True,True
2476,2022-08-01,20,604,True,True
2499,2022-09-01,20,662,True,True
2520,2022-10-10,20,672,True,True
2536,2022-11-01,20,618,True,True
2558,2022-12-01,20,580,True,True
2580,2023-01-03,20,580,True,True
2596,2023-02-01,20,580,True,True
2616,2023-03-01,20,581,True,True
2639,2023-04-03,20,581,True,True
2658,2023-05-04,20,582,True,True
2678,2023-06-01,20,582,True,True
2698,2023-07-03,20,590,True,True
2719,2023-08-01,20,590,True,True
2742,2023-09-01,20,485,True,True
2762,2023-10-09,20,410,True,True
2779,2023-11-01,20,427,True,True
2801,2023-12-01,20,427,True,True
2822,2024-01-02,20,444,True,True
2844,2024-02-01,20,444,True,True
2859,2024-03-01,20,444,True,True
2880,2024-04-01,20,444,True,True
2900,2024-05-06,20,444,True,True
2920,2024-06-03,20,468,True,True
2939,2024-07-01,20,468,True,True
2962,2024-08-01,20,503,True,True
2984,2024-09-02,20,503,True,True
3003,2024-10-08,20,517,True,True
3021,2024-11-01,20,509,True,True
3042,2024-12-02,20,509,True,True
3064,2025-01-02,20,509,True,True
3082,2025-02-05,20,442,True,True
3100,2025-03-03,20,426,True,True
3121,2025-04-01,20,426,True,True
3142,2025-05-06,20,426,True,True
3161,2025-06-03,20,426,True,True
3181,2025-07-01,20,426,True,True
3204,2025-08-01,20,510,True,True
3225,2025-09-01,20,510,True,True
3247,2025-10-09,20,510,True,True
3264,2025-11-03,20,588,True,True
3284,2025-12-01,20,588,True,True
3307,2026-01-05,20,588,True,True
3327,2026-02-02,20,590,True,True
3341,2026-03-02,20,580,True,True
3363,2026-04-01,20,580,True,True
3384,2026-05-06,20,580,True,True
3402,2026-06-01,20,580,True,True
3423,2026-07-01,20,580,True,True
3446,2026-08-03,20,633,True,True
