period,cost,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,301,31,35,0,0,0.06145547926551384
evaluation,STRESS,301,31,35,0,0,0.06149251702100085
earlier_diagnostic,BASE,279,20,16,0,0,0.10722999848190522
earlier_diagnostic,STRESS,280,20,16,0,0,0.10761575407652418
