period,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,new_latest_predictions,comparisons_with_different_parameter_identity,veto_episodes_started,veto_resets_at_parent_zero,veto_active_origins,veto_still_active_at_last_origin,comparison_states,new_model_fits,new_reference_accounts
evaluation,BASE,1604,312,1292,0,261,7,0,0,0,False,"{'PARENT_ZERO_RESET_VETO': 1292, 'COMPARABLE_PREDICTIONS_NO_NEGATIVE_UPDATE': 261, 'REFERENCE_FLAT_USE_PARENT_WITHOUT_COMPARISON': 51}",0,0
evaluation,STRESS,1604,312,1292,0,261,7,0,0,0,False,"{'PARENT_ZERO_RESET_VETO': 1292, 'COMPARABLE_PREDICTIONS_NO_NEGATIVE_UPDATE': 261, 'REFERENCE_FLAT_USE_PARENT_WITHOUT_COMPARISON': 51}",0,0
earlier_diagnostic,BASE,1219,279,940,0,62,43,1,1,23,False,"{'PARENT_ZERO_RESET_VETO': 917, 'FIXED_NO_MATURE_MODEL_USE_PARENT_WITHOUT_COMPARISON': 199, 'COMPARABLE_PREDICTIONS_NO_NEGATIVE_UPDATE': 61, 'VETO_LOCKED_UNTIL_PARENT_ZERO': 22, 'REFERENCE_FLAT_USE_PARENT_WITHOUT_COMPARISON': 19, 'NEGATIVE_MODEL_UPDATE_STARTED_VETO': 1}",0,0
earlier_diagnostic,STRESS,1219,280,939,0,64,45,2,2,28,False,"{'PARENT_ZERO_RESET_VETO': 911, 'FIXED_NO_MATURE_MODEL_USE_PARENT_WITHOUT_COMPARISON': 199, 'COMPARABLE_PREDICTIONS_NO_NEGATIVE_UPDATE': 62, 'VETO_LOCKED_UNTIL_PARENT_ZERO': 26, 'REFERENCE_FLAT_USE_PARENT_WITHOUT_COMPARISON': 19, 'NEGATIVE_MODEL_UPDATE_STARTED_VETO': 2}",0,0
