model,main_base_met,main_both_costs_met,all_four_met,min_cagr,min_sharpe
PRICE_FULL,False,False,False,-0.011456843450946714,-0.01743013027220945
PRICE_VOL10,False,False,False,0.010715485092962622,0.16574170513135034
RAW_FULL,False,False,False,-0.04462546821289775,-0.1281016719634866
RAW_VOL10,False,False,False,0.009092597595573763,0.1501640641473304
RESIDUAL_FULL,False,False,False,-0.07439189566526569,-0.2880773870020798
RESIDUAL_VOL10,False,False,False,-0.00019381322863820191,0.031919896685466215
