period,cost,model,status,rows,annualized_return,net_sharpe,max_equity_identity_error
evaluation,BASE,RESIDUAL_FULL,PASS,1604,0.03556690431391864,0.3291895035315683,5.820766091346741e-11
evaluation,BASE,RESIDUAL_VOL10,PASS,1604,0.03391485337454462,0.440117093706442,2.9103830456733704e-11
evaluation,BASE,RAW_FULL,PASS,1604,0.013909598282602308,0.17063803838189415,1.1823431123048067e-11
evaluation,BASE,RAW_VOL10,PASS,1604,0.03014151887231153,0.39741627245747335,2.9103830456733704e-11
evaluation,BASE,PRICE_FULL,PASS,1604,-0.00775321520319451,0.010155963154654965,5.9117155615240335e-12
evaluation,BASE,PRICE_VOL10,PASS,1604,0.013388897397286248,0.1959619642454209,2.9103830456733704e-11
evaluation,BASE,BUY_HOLD,PASS,1604,0.03625747164561696,0.2878993906551934,5.820766091346741e-11
evaluation,STRESS,RESIDUAL_FULL,PASS,1604,0.03128997158008471,0.2981234218974452,5.820766091346741e-11
evaluation,STRESS,RESIDUAL_VOL10,PASS,1604,0.030745521035009743,0.4034130212316313,1.4551915228366852e-11
evaluation,STRESS,RAW_FULL,PASS,1604,0.009929022477585371,0.14104794404055673,1.1823431123048067e-11
evaluation,STRESS,RAW_VOL10,PASS,1604,0.027359044187352712,0.36492695686384635,2.9103830456733704e-11
evaluation,STRESS,PRICE_FULL,PASS,1604,-0.011456843450946712,-0.017430130272209455,1.1823431123048067e-11
evaluation,STRESS,PRICE_VOL10,PASS,1604,0.010715485092962648,0.16574170513135034,2.9103830456733704e-11
evaluation,STRESS,BUY_HOLD,PASS,1604,0.03608494451374257,0.2869084303102276,2.9103830456733704e-11
earlier_diagnostic,BASE,RESIDUAL_FULL,PASS,1219,-0.07028704234490801,-0.266005555885492,2.9103830456733704e-11
earlier_diagnostic,BASE,RESIDUAL_VOL10,PASS,1219,0.002332826760946384,0.06813808576642406,1.4551915228366852e-11
earlier_diagnostic,BASE,RAW_FULL,PASS,1219,-0.04027273433143365,-0.10561698190750562,5.9117155615240335e-12
earlier_diagnostic,BASE,RAW_VOL10,PASS,1219,0.011949906832253526,0.1840959176215067,2.9103830456733704e-11
earlier_diagnostic,BASE,PRICE_FULL,PASS,1219,0.00027519742151274694,0.08103998937302723,5.9117155615240335e-12
earlier_diagnostic,BASE,PRICE_VOL10,PASS,1219,0.027293137842728302,0.36059540625848985,4.069988790433854e-11
earlier_diagnostic,BASE,BUY_HOLD,PASS,1219,0.0389612281966439,0.2787219861525521,2.9103830456733704e-11
earlier_diagnostic,STRESS,RESIDUAL_FULL,PASS,1219,-0.07439189566526563,-0.28807738700207974,1.4551915228366852e-11
earlier_diagnostic,STRESS,RESIDUAL_VOL10,PASS,1219,-0.00019381322863819563,0.03191989668546621,1.887201506178826e-11
earlier_diagnostic,STRESS,RAW_FULL,PASS,1219,-0.04462546821289777,-0.1281016719634866,5.9117155615240335e-12
earlier_diagnostic,STRESS,RAW_VOL10,PASS,1219,0.009092597595573746,0.1501640641473304,2.9103830456733704e-11
earlier_diagnostic,STRESS,PRICE_FULL,PASS,1219,-0.003262056888944198,0.058695545940130094,1.1823431123048067e-11
earlier_diagnostic,STRESS,PRICE_VOL10,PASS,1219,0.0252092327155475,0.3367012654420535,2.9103830456733704e-11
earlier_diagnostic,STRESS,BUY_HOLD,PASS,1219,0.03870027208568667,0.27770777418072445,2.9103830456733704e-11
