period,cost,status
evaluation,BASE,SEVEN_FIELDS_EXACT_MATCH
evaluation,STRESS,SEVEN_FIELDS_EXACT_MATCH
earlier_diagnostic,BASE,SEVEN_FIELDS_EXACT_MATCH
earlier_diagnostic,STRESS,SEVEN_FIELDS_EXACT_MATCH
