period,full_days,common_signal_days,scheduled_months,available_scheduled_months,no_view_scheduled_months,first_signal_date
evaluation,1604,1603,80,80,0,2020-01-02
earlier_diagnostic,1219,1136,60,55,5,2015-04-09
