period,cost,model,window_days,window_count,median_cagr,min_cagr,median_sharpe,min_sharpe,joint_fraction
evaluation,BASE,RESIDUAL_FULL,726,879,0.02152450750628704,-0.01088738478618167,0.2622828395203435,-0.042372497330206364,0.0
evaluation,BASE,RESIDUAL_VOL10,726,879,0.021317225037524572,-0.0024491803250115095,0.3668246694506828,-0.004726190077358466,0.0
evaluation,BASE,RAW_FULL,726,879,0.01954277051677403,-0.026391584853462623,0.24957702719772779,-0.22475923135980783,0.0
evaluation,BASE,RAW_VOL10,726,879,0.028456537270394947,-0.003662679080153025,0.43393874095089047,-0.04516013839329154,0.0
evaluation,BASE,PRICE_FULL,726,879,-0.0028320539849932755,-0.06202216730729225,0.026553463926851553,-0.638361900459542,0.0
evaluation,BASE,PRICE_VOL10,726,879,0.00312237517044559,-0.03735392873017222,0.07984357227944519,-0.6236029602567074,0.0
evaluation,BASE,BUY_HOLD,726,879,-0.010301971035243962,-0.15106040602442786,0.022037008078225905,-0.9110446328978036,0.0
evaluation,STRESS,RESIDUAL_FULL,726,879,0.016403970404175145,-0.014374979471127423,0.22061296037395187,-0.07420584562998107,0.0
evaluation,STRESS,RESIDUAL_VOL10,726,879,0.017934301769990186,-0.0056749112663770545,0.3155912176419054,-0.058649958879744765,0.0
evaluation,STRESS,RAW_FULL,726,879,0.01628429646592823,-0.03063126975510188,0.21089931723920882,-0.26865742781088786,0.0
evaluation,STRESS,RAW_VOL10,726,879,0.025776916358993728,-0.0064445187874659,0.39482063056357325,-0.0993674357726006,0.0
evaluation,STRESS,PRICE_FULL,726,879,-0.00612050280353997,-0.06509325433097643,-0.004396497477369801,-0.6719998707453603,0.0
evaluation,STRESS,PRICE_VOL10,726,879,0.000727930353602985,-0.03958154263192522,0.04448261154806633,-0.6622036206286989,0.0
evaluation,STRESS,BUY_HOLD,726,879,-0.0103086394125938,-0.15114927393528937,0.02209677482247342,-0.9110031580239656,0.0
earlier_diagnostic,BASE,RESIDUAL_FULL,726,494,-0.06711855694831678,-0.13806501106514937,-0.38825198189386856,-0.9896219339177265,0.0
earlier_diagnostic,BASE,RESIDUAL_VOL10,726,494,-0.00886694588516911,-0.04865173933993789,-0.10729861506348026,-0.8509152318990747,0.0
earlier_diagnostic,BASE,RAW_FULL,726,494,-0.02531763642047699,-0.08181939867575827,-0.054210478819285535,-0.49318385514733526,0.0
earlier_diagnostic,BASE,RAW_VOL10,726,494,0.013959366663898161,-0.01827481653861554,0.21032093986820938,-0.18494185659942827,0.0
earlier_diagnostic,BASE,PRICE_FULL,726,494,0.03546238451426615,-0.01128241459653639,0.3214635105181101,-0.029670845668338934,0.0
earlier_diagnostic,BASE,PRICE_VOL10,726,494,0.048673620741228926,0.016577165732416462,0.572113629832578,0.2233762694374419,0.0
earlier_diagnostic,BASE,BUY_HOLD,726,494,0.04777781646879749,-0.09836064296796632,0.33933269618425327,-0.2593112958658715,0.0
earlier_diagnostic,STRESS,RESIDUAL_FULL,726,494,-0.07042806664919787,-0.14068525163258028,-0.42114376896964684,-1.0183151751477182,0.0
earlier_diagnostic,STRESS,RESIDUAL_VOL10,726,494,-0.010934008449974615,-0.050585165613855704,-0.14028055062744432,-0.8878762825596587,0.0
earlier_diagnostic,STRESS,RAW_FULL,726,494,-0.02958511806237578,-0.08608783816292902,-0.08560201033860682,-0.5300712470089608,0.0
earlier_diagnostic,STRESS,RAW_VOL10,726,494,0.010757640214558361,-0.021396343336191864,0.17026179717291526,-0.22377788141037186,0.0
earlier_diagnostic,STRESS,PRICE_FULL,726,494,0.032341747157742656,-0.014572250288099322,0.29475493062501296,-0.05646800759665946,0.0
earlier_diagnostic,STRESS,PRICE_VOL10,726,494,0.046679067332623905,0.014228658058386356,0.5536140132557283,0.19855997170383383,0.0
earlier_diagnostic,STRESS,BUY_HOLD,726,494,0.04781426791671242,-0.09841643567432216,0.3391823991013878,-0.2591633867301254,0.0
