datetime,open,close,high,low,volume,amount,amplitude_pct,change_pct,change,turnover_pct
2012-06-01,1.671,1.75,1.781,1.664,26158610,6804744784.0,6.91,3.31,0.056,11.05
2012-06-08,1.721,1.654,1.724,1.65,13567707,3485061904.0,4.23,-5.49,-0.096,5.73
2012-06-15,1.663,1.704,1.718,1.656,8837028,2267664928.0,3.75,3.02,0.05,3.73
2012-06-21,1.709,1.65,1.728,1.637,5356398,1375068304.0,5.34,-3.17,-0.054,2.26
2012-06-29,1.647,1.605,1.647,1.568,9348540,2318313568.0,4.79,-2.73,-0.045,3.95
2012-07-06,1.615,1.621,1.636,1.572,8280335,2055294640.0,3.99,1.0,0.016,3.5
2012-07-13,1.609,1.598,1.619,1.555,9822928,2417872656.0,3.95,-1.42,-0.023,4.15
2012-07-20,1.601,1.553,1.602,1.526,14095317,3443205696.0,4.76,-2.82,-0.045,5.95
2012-07-27,1.531,1.505,1.543,1.497,11823835,2832591904.0,2.96,-3.09,-0.048,4.99
2012-08-03,1.509,1.505,1.521,1.479,12958371,3083527664.0,2.79,0.0,0.0,5.47
2012-08-10,1.503,1.558,1.568,1.502,11186868,2706690480.0,4.39,3.52,0.053,4.72
2012-08-17,1.551,1.469,1.551,1.455,11081427,2636761584.0,6.16,-5.71,-0.089,4.68
2012-08-24,1.453,1.436,1.487,1.362,8606941,2009014816.0,8.51,-2.25,-0.033,3.63
2012-08-31,1.425,1.363,1.425,1.346,11811363,2670622080.0,5.5,-5.08,-0.073,4.99
2012-09-07,1.358,1.477,1.505,1.343,14103478,3220752448.0,11.89,8.36,0.114,5.96
2012-09-14,1.48,1.472,1.498,1.451,13322688,3132920480.0,3.18,-0.34,-0.005,5.63
2012-09-21,1.466,1.348,1.468,1.339,14573544,3306334112.0,8.76,-8.42,-0.124,6.15
2012-09-28,1.334,1.458,1.459,1.324,16307156,3699955328.0,10.01,8.16,0.11,6.89
2012-10-12,1.455,1.458,1.488,1.41,12717357,2979822064.0,5.35,0.0,0.0,5.37
2012-10-19,1.464,1.489,1.496,1.435,11559017,2711857984.0,4.18,2.13,0.031,4.88
2012-10-26,1.479,1.396,1.504,1.388,12600779,2948265232.0,7.79,-6.25,-0.093,5.32
2012-11-02,1.392,1.459,1.464,1.378,14164982,3252750864.0,6.16,4.51,0.063,5.98
2012-11-09,1.457,1.394,1.477,1.389,15168615,3499835664.0,6.03,-4.46,-0.065,6.41
2012-11-16,1.396,1.325,1.409,1.316,18664549,4188405648.0,6.67,-4.95,-0.069,7.88
2012-11-23,1.324,1.345,1.355,1.303,18465850,4080737840.0,3.92,1.51,0.02,7.8
2012-11-30,1.341,1.285,1.342,1.267,18588897,4051784208.0,5.58,-4.46,-0.06,7.85
2012-12-07,1.288,1.4,1.407,1.258,23261461,5145526800.0,11.6,8.95,0.115,9.82
2012-12-14,1.413,1.516,1.52,1.399,21999966,5076019744.0,8.64,8.29,0.116,9.29
2012-12-21,1.518,1.531,1.566,1.503,21566010,5134975008.0,4.16,0.99,0.015,9.11
2012-12-28,1.53,1.637,1.639,1.521,22749367,5533741632.0,7.71,6.92,0.106,9.61
2013-01-04,1.645,1.683,1.713,1.645,13067652,3292894752.0,4.15,2.81,0.046,5.52
2013-01-11,1.675,1.642,1.706,1.631,22952430,5786307408.0,4.46,-2.44,-0.041,9.69
2013-01-18,1.642,1.748,1.763,1.635,26339903,6749250576.0,7.8,6.46,0.106,11.12
2013-01-25,1.753,1.729,1.819,1.721,29583242,7687817424.0,5.61,-1.09,-0.019,12.49
2013-02-01,1.736,1.893,1.898,1.736,31173121,8313912192.0,9.37,9.49,0.164,13.17
2013-02-08,1.901,1.922,1.94,1.878,28614655,7895471376.0,3.28,1.53,0.029,12.08
2013-02-22,1.928,1.745,1.931,1.729,28418686,7597768816.0,10.51,-9.21,-0.177,12.0
2013-03-01,1.752,1.819,1.83,1.706,28498587,7439932080.0,7.11,4.24,0.074,12.04
2013-03-08,1.785,1.758,1.811,1.68,32176883,8386992320.0,7.2,-3.35,-0.061,13.59
2013-03-15,1.74,1.682,1.768,1.653,22745925,5804562112.0,6.54,-4.32,-0.076,9.61
2013-03-22,1.675,1.768,1.777,1.643,21715528,5559882048.0,7.97,5.11,0.086,9.17
2013-03-29,1.778,1.64,1.791,1.633,20919522,5345392928.0,8.94,-7.24,-0.128,8.83
2013-04-03,1.631,1.635,1.676,1.623,10202885,2540574528.0,3.23,-0.3,-0.005,4.31
2013-04-12,1.603,1.619,1.665,1.586,14772733,3660810896.0,4.83,-0.98,-0.016,6.24
2013-04-19,1.613,1.69,1.701,1.574,20993255,5173365120.0,7.84,4.39,0.071,8.87
2013-04-26,1.688,1.598,1.695,1.587,13394973,3328108224.0,6.39,-5.44,-0.092,5.66
2013-05-03,1.58,1.644,1.677,1.571,5485450,1355804304.0,6.63,2.88,0.046,2.32
2013-05-10,1.653,1.692,1.72,1.652,12940439,3272573360.0,4.14,2.92,0.048,5.47
2013-05-17,1.694,1.752,1.756,1.626,15465986,3915102560.0,7.68,3.55,0.06,6.53
