period,cost,control,final_equity_difference,price_pnl_difference,dividend_difference,extra_commission_and_slippage
evaluation,BASE,ORIGINAL_FULL,-23554.024420000147,-23256.79999999998,-4741.5999999999985,-4444.375579999874
evaluation,BASE,ORIGINAL_HALF,19587.40639999986,20114.500000000007,261.60000000000036,788.6936000000078
evaluation,STRESS,ORIGINAL_FULL,-19057.42424000011,-22458.89999999998,-4619.999999999999,-8021.475760000012
evaluation,STRESS,ORIGINAL_HALF,18808.590440000145,20022.70000000002,261.59999999999945,1475.7095600000066
earlier_diagnostic,BASE,ORIGINAL_FULL,-57630.13883999997,-57355.80000000002,-962.5000000000001,-688.1611600000026
earlier_diagnostic,BASE,ORIGINAL_HALF,-5191.127659999998,-3898.4000000000015,0.0,1292.7276599999816
earlier_diagnostic,STRESS,ORIGINAL_FULL,-56269.83928000007,-56787.90000000001,-962.5000000000001,-1480.560720000004
earlier_diagnostic,STRESS,ORIGINAL_HALF,-6197.738680000068,-3806.9000000000087,0.0,2390.838679999999
