period,cost,control,block_days,replications,valid_sharpe_draws,annual_arithmetic_return_difference_low,annual_arithmetic_return_difference_high,sharpe_difference_low,sharpe_difference_high,sharpe_interval_crosses_zero,mean_interval_crosses_zero
evaluation,BASE,ORIGINAL_FULL,20,2000,2000,-0.05152923771662168,0.01546901893331357,0.03430265163820603,0.504679963619724,False,True
evaluation,BASE,ORIGINAL_HALF,20,2000,2000,0.0014701489724293598,0.02539668802712751,0.03254870989965188,0.5090279121074072,False,False
evaluation,STRESS,ORIGINAL_FULL,20,2000,2000,-0.04859417315377736,0.017402402453765908,0.034252969932577114,0.5042829541948667,False,True
evaluation,STRESS,ORIGINAL_HALF,20,2000,2000,0.0014415511417333168,0.024888868561013702,0.0317940507715993,0.5041779593352221,False,False
evaluation,BASE,ORIGINAL_FULL,60,2000,2000,-0.04781365713106509,0.012506421328021903,0.012632766403153537,0.5021082691477744,False,True
evaluation,BASE,ORIGINAL_HALF,60,2000,2000,7.806234755900425e-05,0.02558866767941756,0.0009780356828727914,0.502945164570468,False,False
evaluation,STRESS,ORIGINAL_FULL,60,2000,2000,-0.04574349348935469,0.014470051979058148,0.013853460498741936,0.4991647015963076,False,True
evaluation,STRESS,ORIGINAL_HALF,60,2000,2000,0.00012986110198426657,0.025059709673962927,0.0013489135480395118,0.5014082845599076,False,False
earlier_diagnostic,BASE,ORIGINAL_FULL,20,2000,2000,-0.11029396777841137,0.0070814611538884175,-0.5546964791907728,0.2404322539861241,True,True
earlier_diagnostic,BASE,ORIGINAL_HALF,20,2000,2000,-0.032415643687801934,0.02301806020168,-0.5574360372058552,0.24382129152554385,True,True
earlier_diagnostic,STRESS,ORIGINAL_FULL,20,2000,2000,-0.11007300998870768,0.006898141971154506,-0.5629415265552014,0.23189559462398066,True,True
earlier_diagnostic,STRESS,ORIGINAL_HALF,20,2000,2000,-0.033359571953891956,0.021981560373777412,-0.5666275231865621,0.23282670082990625,True,True
earlier_diagnostic,BASE,ORIGINAL_FULL,60,2000,2000,-0.11467446861499049,0.011996221249451175,-0.4106467748667481,0.18456811498795345,True,True
earlier_diagnostic,BASE,ORIGINAL_HALF,60,2000,2000,-0.02442323030907323,0.017163615013336443,-0.41268320439442474,0.19116814317490916,True,True
earlier_diagnostic,STRESS,ORIGINAL_FULL,60,2000,2000,-0.11342328255144923,0.011829995672847917,-0.42217241128376554,0.17169904835820682,True,True
earlier_diagnostic,STRESS,ORIGINAL_HALF,60,2000,2000,-0.025022770198609306,0.016205367675743206,-0.423259877478479,0.17713303461620455,True,True
