period,cost,model,label,stage,calendar_days,holding_closes,gross_price_dividend_profit,commission_and_slippage,net_profit,loss_day_profit_sum,positive_day_profit_sum,arithmetic_return_contribution,filled_trade_days
evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,原174,辅助独有,124,124,41580.59999999999,1457.5925799999989,40123.00741999995,-58279.737479999894,98402.74489999985,0.15507532389569767,18
evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,原174,零目标或退出过渡,1168,0,4964.2999999998965,2619.5255399999523,2344.774460000015,-5435.921639999899,7780.696099999914,0.007895869797240329,27
evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,原174,核心独有,301,294,64086.3000000001,2979.1886200000313,61107.11138000022,-71095.71181999965,132202.82319999987,0.2506963587238502,45
evaluation,BASE,EITHER_CONFIRMED_RUNS_AUXILIARY,原174,核心辅助同时,11,11,10797.80000000001,137.86196000000382,10659.938040000008,-9701.554760000028,20361.492800000036,0.045244284225386955,3
evaluation,BASE,EXPOSURE_EXPANSION_200,两倍180,辅助独有,124,124,54773.09999999999,1765.9565000000032,53007.143500000006,-86888.90843999994,139896.05193999995,0.18722950502075997,8
evaluation,BASE,EXPOSURE_EXPANSION_200,两倍180,零目标或退出过渡,1168,0,11318.699999999804,4224.0860799998745,7094.613920000178,-8747.427140000043,15842.041060000221,0.022072432462650338,27
evaluation,BASE,EXPOSURE_EXPANSION_200,两倍180,核心独有,301,286,99884.80000000019,5988.858560000085,93895.94143999994,-148107.41997999998,242003.3614199999,0.3675401843575644,60
evaluation,BASE,EXPOSURE_EXPANSION_200,两倍180,核心辅助同时,11,11,8448.000000000002,0.0,8448.0,-14784.000000000058,23232.00000000006,0.03367441211484623,0
evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,每日181,辅助独有,124,124,56091.59999999998,1803.2219400000024,54288.37806000002,-80956.1286400001,135244.5067000001,0.18974244261243933,13
evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,每日181,零目标或退出过渡,1168,0,11610.299999999792,4804.155819999873,6806.144179999945,-11434.822000000073,18240.966180000018,0.021545605896750586,27
evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,每日181,核心独有,301,294,103658.30000000022,7441.567120000052,96216.73288000003,-171921.85183999987,268138.5847199999,0.37244588328135664,73
evaluation,BASE,ACCOUNT_VOLATILITY_EXPOSURE,每日181,核心辅助同时,11,11,11384.00000000001,87.97870000000242,11296.021300000022,-10243.678700000019,21539.70000000004,0.04499450572663566,2
evaluation,BASE,EPISODE_ACCOUNT_RISK_BUDGET,区间182,辅助独有,124,124,52360.5,1577.3595600000012,50783.14044000002,-75867.57679999998,126650.71724,0.1909753200136315,10
evaluation,BASE,EPISODE_ACCOUNT_RISK_BUDGET,区间182,零目标或退出过渡,1168,0,13703.6999999998,4031.500599999838,9672.199399999983,-8342.085820000153,18014.285220000136,0.03306868859425416,27
evaluation,BASE,EPISODE_ACCOUNT_RISK_BUDGET,区间182,核心独有,301,294,81091.20000000019,4756.455280000095,76334.74472000002,-128454.31055999963,204789.05527999965,0.30143737549676175,52
evaluation,BASE,EPISODE_ACCOUNT_RISK_BUDGET,区间182,核心辅助同时,11,11,7884.800000000003,0.0,7884.8000000000175,-13798.400000000023,21683.20000000004,0.033674198561640334,0
evaluation,BASE,BINARY_SIGNAL_EXPOSURE,满仓183,辅助独有,124,124,42459.999999999985,1879.713280000008,40580.286719999975,-107323.32531999997,147903.61203999995,0.15317514782585562,8
evaluation,BASE,BINARY_SIGNAL_EXPOSURE,满仓183,零目标或退出过渡,1168,0,11544.799999999737,6824.685259999733,4720.114740000077,-18848.752759999858,23568.867499999935,0.014019055302005867,29
evaluation,BASE,BINARY_SIGNAL_EXPOSURE,满仓183,核心独有,301,300,112220.10000000021,5292.596520000119,106927.5034799999,-278321.23679999996,385248.74027999985,0.41793643147417425,23
evaluation,BASE,BINARY_SIGNAL_EXPOSURE,满仓183,核心辅助同时,11,11,8131.2000000000035,0.0,8131.1999999999825,-14229.600000000035,22360.800000000017,0.033658211726949716,0
evaluation,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,原174,辅助独有,124,124,41068.39999999998,2640.9929999999813,38427.40699999995,-58121.9829600002,96549.38996000015,0.15030065948787708,18
evaluation,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,原174,零目标或退出过渡,1168,0,4895.799999999898,4769.945719999905,125.85427999999956,-6763.733799999871,6889.58807999987,-0.0003380455762583834,27
evaluation,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,原174,核心独有,301,294,63493.10000000011,5383.335000000092,58109.7649999999,-71191.47035999972,129301.23535999961,0.24141812395578865,45
evaluation,STRESS,EITHER_CONFIRMED_RUNS_AUXILIARY,原174,核心辅助同时,11,11,10747.700000000004,274.0785200000076,10473.621480000002,-9739.560399999988,20213.18187999999,0.04466855779828405,3
evaluation,STRESS,EXPOSURE_EXPANSION_200,两倍180,辅助独有,124,124,53843.39999999999,3139.1502799999644,50704.24971999999,-85930.7112799999,136634.9609999999,0.18219366743952026,8
evaluation,STRESS,EXPOSURE_EXPANSION_200,两倍180,零目标或退出过渡,1168,0,11071.799999999808,7661.777839999853,3410.0221600000223,-10716.668120000046,14126.690280000068,0.010020062491735926,27
evaluation,STRESS,EXPOSURE_EXPANSION_200,两倍180,核心独有,301,286,98622.10000000021,10775.782640000161,87846.31735999996,-147601.58519999945,235447.9025599994,0.3506745844455048,60
evaluation,STRESS,EXPOSURE_EXPANSION_200,两倍180,核心辅助同时,11,11,8395.200000000004,0.0,8395.199999999983,-14691.600000000035,23086.800000000017,0.03366770029342514,0
evaluation,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,每日181,辅助独有,124,124,54894.09999999998,3199.5224799999687,51694.57752000005,-79682.36227999983,131376.93979999988,0.18455532654570572,13
evaluation,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,每日181,零目标或退出过渡,1168,0,11206.399999999798,8692.908679999833,2513.4913200001174,-13635.66579999993,16149.157120000047,0.007600114226476107,27
evaluation,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,每日181,核心独有,301,294,102132.80000000024,13525.969840000193,88606.8301599999,-171094.15476000015,259700.98492000005,0.3513748362194741,73
evaluation,STRESS,ACCOUNT_VOLATILITY_EXPOSURE,每日181,核心辅助同时,11,11,11300.20000000001,174.2791200000048,11125.92088000002,-10280.379120000085,21406.300000000105,0.04456406008480163,2
evaluation,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,区间182,辅助独有,124,124,51600.499999999985,2812.660839999969,48787.83916000006,-75175.48359999977,123963.32275999984,0.1862029473369955,10
evaluation,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,区间182,零目标或退出过渡,1168,0,13391.399999999805,7343.3389199998455,6048.061079999956,-10299.359359999915,16347.42043999987,0.0207951385736016,27
evaluation,STRESS,EPISODE_ACCOUNT_RISK_BUDGET,区间182,核心独有,301,294,80038.00000000019,8646.734960000107,71391.26504000014,-128124.86856,199516.13360000015,0.2872238877163379,52
