拟合收盘,成熟参考周期,状态行数,周期目标平均值,周期截距,新周期使用的平均截距
2017-03-01,1,59,0.02092881846220858,0.0006518134588510242,0.020746295195372355
2017-03-01,2,52,0.09501125267143296,0.22806554400543919,0.020746295195372355
2017-03-01,3,6,-0.03344760127158214,-0.06185601681639904,0.020746295195372355
2017-03-01,4,59,0.17983739018447756,0.28966237997820077,0.020746295195372355
2017-03-01,5,25,-0.08038605495456558,-0.04185455887343452,0.020746295195372355
2017-03-01,6,59,0.024250487101779742,0.05019789798874798,0.020746295195372355
2017-03-01,8,1,-0.025405979073243636,-0.14959462145579885,0.020746295195372355
2017-03-01,9,59,0.027753862878604908,-0.03299577842845627,0.020746295195372355
2017-03-01,10,59,0.008058596622428638,-0.01896335181137151,0.020746295195372355
2017-03-01,11,59,-0.009137820667817292,-0.055850356092055194,0.020746295195372355
2017-04-05,1,59,0.02092881846220858,0.0006518134588510242,0.020746295195372355
2017-04-05,2,52,0.09501125267143296,0.22806554400543919,0.020746295195372355
2017-04-05,3,6,-0.03344760127158214,-0.06185601681639904,0.020746295195372355
2017-04-05,4,59,0.17983739018447756,0.28966237997820077,0.020746295195372355
2017-04-05,5,25,-0.08038605495456558,-0.04185455887343452,0.020746295195372355
2017-04-05,6,59,0.024250487101779742,0.05019789798874798,0.020746295195372355
2017-04-05,8,1,-0.025405979073243636,-0.14959462145579885,0.020746295195372355
2017-04-05,9,59,0.027753862878604908,-0.03299577842845627,0.020746295195372355
2017-04-05,10,59,0.008058596622428638,-0.01896335181137151,0.020746295195372355
2017-04-05,11,59,-0.009137820667817292,-0.055850356092055194,0.020746295195372355
2017-05-02,1,59,0.02092881846220858,0.0006518134588510242,0.020746295195372355
2017-05-02,2,52,0.09501125267143296,0.22806554400543919,0.020746295195372355
2017-05-02,3,6,-0.03344760127158214,-0.06185601681639904,0.020746295195372355
2017-05-02,4,59,0.17983739018447756,0.28966237997820077,0.020746295195372355
2017-05-02,5,25,-0.08038605495456558,-0.04185455887343452,0.020746295195372355
2017-05-02,6,59,0.024250487101779742,0.05019789798874798,0.020746295195372355
2017-05-02,8,1,-0.025405979073243636,-0.14959462145579885,0.020746295195372355
2017-05-02,9,59,0.027753862878604908,-0.03299577842845627,0.020746295195372355
2017-05-02,10,59,0.008058596622428638,-0.01896335181137151,0.020746295195372355
2017-05-02,11,59,-0.009137820667817292,-0.055850356092055194,0.020746295195372355
2017-06-01,1,59,0.02092881846220858,0.004382562782987841,0.015678196546856506
2017-06-01,2,52,0.09501125267143296,0.23387108200687035,0.015678196546856506
2017-06-01,3,6,-0.03344760127158214,-0.057956243337038346,0.015678196546856506
2017-06-01,4,59,0.17983739018447756,0.2954886434267622,0.015678196546856506
2017-06-01,5,25,-0.08038605495456558,-0.03715410785850521,0.015678196546856506
2017-06-01,6,59,0.024250487101779742,0.0545692973776524,0.015678196546856506
2017-06-01,8,1,-0.025405979073243636,-0.14444160977046372,0.015678196546856506
2017-06-01,9,59,0.027753862878604908,-0.02938414407931067,0.015678196546856506
2017-06-01,10,59,0.008058596622428638,-0.015002857408296561,0.015678196546856506
2017-06-01,11,59,-0.009137820667817292,-0.0519213490268744,0.015678196546856506
2017-06-01,12,59,-0.035002789938302165,-0.0799911120983623,0.015678196546856506
2017-07-03,1,59,0.02092881846220858,0.004382562782987841,0.015678196546856506
2017-07-03,2,52,0.09501125267143296,0.23387108200687035,0.015678196546856506
2017-07-03,3,6,-0.03344760127158214,-0.057956243337038346,0.015678196546856506
2017-07-03,4,59,0.17983739018447756,0.2954886434267622,0.015678196546856506
2017-07-03,5,25,-0.08038605495456558,-0.03715410785850521,0.015678196546856506
2017-07-03,6,59,0.024250487101779742,0.0545692973776524,0.015678196546856506
2017-07-03,8,1,-0.025405979073243636,-0.14444160977046372,0.015678196546856506
2017-07-03,9,59,0.027753862878604908,-0.02938414407931067,0.015678196546856506
2017-07-03,10,59,0.008058596622428638,-0.015002857408296561,0.015678196546856506
2017-07-03,11,59,-0.009137820667817292,-0.0519213490268744,0.015678196546856506
2017-07-03,12,59,-0.035002789938302165,-0.0799911120983623,0.015678196546856506
2017-08-01,1,59,0.02092881846220858,0.004382562782987841,0.015678196546856506
2017-08-01,2,52,0.09501125267143296,0.23387108200687035,0.015678196546856506
2017-08-01,3,6,-0.03344760127158214,-0.057956243337038346,0.015678196546856506
2017-08-01,4,59,0.17983739018447756,0.2954886434267622,0.015678196546856506
2017-08-01,5,25,-0.08038605495456558,-0.03715410785850521,0.015678196546856506
2017-08-01,6,59,0.024250487101779742,0.0545692973776524,0.015678196546856506
2017-08-01,8,1,-0.025405979073243636,-0.14444160977046372,0.015678196546856506
2017-08-01,9,59,0.027753862878604908,-0.02938414407931067,0.015678196546856506
2017-08-01,10,59,0.008058596622428638,-0.015002857408296561,0.015678196546856506
2017-08-01,11,59,-0.009137820667817292,-0.0519213490268744,0.015678196546856506
2017-08-01,12,59,-0.035002789938302165,-0.0799911120983623,0.015678196546856506
2017-09-01,1,59,0.02092881846220858,0.0035316972791917187,0.01581676339237205
2017-09-01,2,52,0.09501125267143296,0.23472711614247066,0.01581676339237205
2017-09-01,3,6,-0.03344760127158214,-0.05892745669158886,0.01581676339237205
2017-09-01,4,59,0.17983739018447756,0.29712151549459515,0.01581676339237205
2017-09-01,5,25,-0.08038605495456558,-0.03695253107014977,0.01581676339237205
2017-09-01,6,59,0.024250487101779742,0.05458762559028846,0.01581676339237205
2017-09-01,8,1,-0.025405979073243636,-0.14334521170271655,0.01581676339237205
2017-09-01,9,59,0.027753862878604908,-0.02993656471309572,0.01581676339237205
2017-09-01,10,59,0.008058596622428638,-0.015652635460241853,0.01581676339237205
2017-09-01,11,59,-0.009137820667817292,-0.052971964826978656,0.01581676339237205
2017-09-01,12,59,-0.035002789938302165,-0.08113324642942873,0.01581676339237205
2017-09-01,13,59,0.01734099869304303,0.01875281709611873,0.01581676339237205
2017-10-09,1,59,0.02092881846220858,0.0035316972791917187,0.01581676339237205
2017-10-09,2,52,0.09501125267143296,0.23472711614247066,0.01581676339237205
2017-10-09,3,6,-0.03344760127158214,-0.05892745669158886,0.01581676339237205
2017-10-09,4,59,0.17983739018447756,0.29712151549459515,0.01581676339237205
2017-10-09,5,25,-0.08038605495456558,-0.03695253107014977,0.01581676339237205
2017-10-09,6,59,0.024250487101779742,0.05458762559028846,0.01581676339237205
2017-10-09,8,1,-0.025405979073243636,-0.14334521170271655,0.01581676339237205
2017-10-09,9,59,0.027753862878604908,-0.02993656471309572,0.01581676339237205
2017-10-09,10,59,0.008058596622428638,-0.015652635460241853,0.01581676339237205
2017-10-09,11,59,-0.009137820667817292,-0.052971964826978656,0.01581676339237205
2017-10-09,12,59,-0.035002789938302165,-0.08113324642942873,0.01581676339237205
2017-10-09,13,59,0.01734099869304303,0.01875281709611873,0.01581676339237205
2017-11-01,1,59,0.02092881846220858,0.0035316972791917187,0.01581676339237205
2017-11-01,2,52,0.09501125267143296,0.23472711614247066,0.01581676339237205
2017-11-01,3,6,-0.03344760127158214,-0.05892745669158886,0.01581676339237205
2017-11-01,4,59,0.17983739018447756,0.29712151549459515,0.01581676339237205
2017-11-01,5,25,-0.08038605495456558,-0.03695253107014977,0.01581676339237205
2017-11-01,6,59,0.024250487101779742,0.05458762559028846,0.01581676339237205
2017-11-01,8,1,-0.025405979073243636,-0.14334521170271655,0.01581676339237205
2017-11-01,9,59,0.027753862878604908,-0.02993656471309572,0.01581676339237205
2017-11-01,10,59,0.008058596622428638,-0.015652635460241853,0.01581676339237205
2017-11-01,11,59,-0.009137820667817292,-0.052971964826978656,0.01581676339237205
2017-11-01,12,59,-0.035002789938302165,-0.08113324642942873,0.01581676339237205
2017-11-01,13,59,0.01734099869304303,0.01875281709611873,0.01581676339237205
2017-12-01,1,59,0.02092881846220858,0.004009284070522763,0.018009625821604036
2017-12-01,2,52,0.09501125267143296,0.23655337336571372,0.018009625821604036
2017-12-01,3,6,-0.03344760127158214,-0.05983272252423963,0.018009625821604036
2017-12-01,4,59,0.17983739018447756,0.2997521542397999,0.018009625821604036
2017-12-01,5,25,-0.08038605495456558,-0.03610376176513326,0.018009625821604036
2017-12-01,6,59,0.024250487101779742,0.05565974834914883,0.018009625821604036
2017-12-01,8,1,-0.025405979073243636,-0.1426447055991664,0.018009625821604036
2017-12-01,9,59,0.027753862878604908,-0.02917835431942111,0.018009625821604036
2017-12-01,10,59,0.008058596622428638,-0.015037881866478975,0.018009625821604036
2017-12-01,11,59,-0.009137820667817292,-0.05281041331774337,0.018009625821604036
2017-12-01,12,59,-0.035002789938302165,-0.08088759154814704,0.018009625821604036
2017-12-01,13,59,0.01734099869304303,0.01924931939572467,0.018009625821604036
2017-12-01,14,59,0.04432397497238787,0.03539668720027242,0.018009625821604036
2018-01-02,1,59,0.02092881846220858,0.004009284070522763,0.018009625821604036
2018-01-02,2,52,0.09501125267143296,0.23655337336571372,0.018009625821604036
2018-01-02,3,6,-0.03344760127158214,-0.05983272252423963,0.018009625821604036
2018-01-02,4,59,0.17983739018447756,0.2997521542397999,0.018009625821604036
2018-01-02,5,25,-0.08038605495456558,-0.03610376176513326,0.018009625821604036
2018-01-02,6,59,0.024250487101779742,0.05565974834914883,0.018009625821604036
2018-01-02,8,1,-0.025405979073243636,-0.1426447055991664,0.018009625821604036
2018-01-02,9,59,0.027753862878604908,-0.02917835431942111,0.018009625821604036
2018-01-02,10,59,0.008058596622428638,-0.015037881866478975,0.018009625821604036
2018-01-02,11,59,-0.009137820667817292,-0.05281041331774337,0.018009625821604036
2018-01-02,12,59,-0.035002789938302165,-0.08088759154814704,0.018009625821604036
2018-01-02,13,59,0.01734099869304303,0.01924931939572467,0.018009625821604036
2018-01-02,14,59,0.04432397497238787,0.03539668720027242,0.018009625821604036
2018-02-01,1,59,0.02092881846220858,0.004009284070522763,0.018009625821604036
2018-02-01,2,52,0.09501125267143296,0.23655337336571372,0.018009625821604036
2018-02-01,3,6,-0.03344760127158214,-0.05983272252423963,0.018009625821604036
2018-02-01,4,59,0.17983739018447756,0.2997521542397999,0.018009625821604036
2018-02-01,5,25,-0.08038605495456558,-0.03610376176513326,0.018009625821604036
2018-02-01,6,59,0.024250487101779742,0.05565974834914883,0.018009625821604036
2018-02-01,8,1,-0.025405979073243636,-0.1426447055991664,0.018009625821604036
2018-02-01,9,59,0.027753862878604908,-0.02917835431942111,0.018009625821604036
2018-02-01,10,59,0.008058596622428638,-0.015037881866478975,0.018009625821604036
2018-02-01,11,59,-0.009137820667817292,-0.05281041331774337,0.018009625821604036
2018-02-01,12,59,-0.035002789938302165,-0.08088759154814704,0.018009625821604036
2018-02-01,13,59,0.01734099869304303,0.01924931939572467,0.018009625821604036
2018-02-01,14,59,0.04432397497238787,0.03539668720027242,0.018009625821604036
2018-03-01,1,59,0.02092881846220858,0.006772028057197262,0.012829110380296953
2018-03-01,2,52,0.09501125267143296,0.24059541931426376,0.012829110380296953
2018-03-01,3,6,-0.03344760127158214,-0.055495317464185595,0.012829110380296953
2018-03-01,4,59,0.17983739018447756,0.3038838151585106,0.012829110380296953
2018-03-01,5,25,-0.08038605495456558,-0.03189967672202718,0.012829110380296953
2018-03-01,6,59,0.024250487101779742,0.058195425057355143,0.012829110380296953
2018-03-01,8,1,-0.025405979073243636,-0.1390653095885265,0.012829110380296953
