period,cost,terminal_nav_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,-14099.700320000178,-13620.499999999985,-896.8000000000011,-105.69967999999972,-311.8999999999951
evaluation,STRESS,-13766.231240000052,-13581.299999999974,-884.5,-206.76875999999947,-492.80000000003565
earlier_diagnostic,BASE,2416.6846599999117,2395.5000000000146,0.0,-5.184659999999894,-16.00000000000091
earlier_diagnostic,STRESS,2405.4904799999204,2364.200000000026,0.0,-10.090479999999843,-31.199999999964348
