period,cost,entry_date,exit_date_new,exit_date_old,exit_reasons_new,exit_reasons_old,net_profit_cny_new,net_profit_cny_old
evaluation,BASE,2021-02-03,2021-03-01,2021-02-19,含分红持仓价值从周期高点回落至追踪退出线,连续两个收盘预测继续持有收益为负，学习条件请求退出,-5459.657279999985,11215.207079999993
evaluation,BASE,2026-06-05,2026-06-23,2026-06-22,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出,9574.341840000008,4165.9629600000335
evaluation,STRESS,2021-02-03,2021-03-01,2021-02-19,含分红持仓价值从周期高点回落至追踪退出线,连续两个收盘预测继续持有收益为负，学习条件请求退出,-5799.409919999976,10763.862119999976
evaluation,STRESS,2026-06-05,2026-06-23,2026-06-22,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出,8928.299520000059,3692.656799999997
earlier_diagnostic,BASE,2017-05-18,2017-06-28,2017-07-17,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出,22703.784900000028,27631.799100000004
earlier_diagnostic,BASE,2019-05-31,2019-07-03,2019-06-25,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出,23337.71966,16226.546920000052
earlier_diagnostic,STRESS,2017-05-18,2017-06-28,2017-07-17,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出,22076.95471999998,26960.600480000023
earlier_diagnostic,STRESS,2019-05-31,2019-07-03,2019-06-25,连续两个收盘预测继续持有收益为负，学习条件请求退出,连续两个收盘预测继续持有收益为负，学习条件请求退出,22615.37652000005,15574.29251999996
