period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,320,320,0,13,20,0,348
evaluation,STRESS,320,320,0,13,20,0,348
earlier_diagnostic,BASE,265,61,204,3,9,0,421
earlier_diagnostic,STRESS,265,61,204,3,9,0,421
