period,cost,days,cycles,net_sharpe
evaluation,BASE,1604,20,0.7694855589067079
evaluation,STRESS,1604,20,0.7187097912225476
earlier_diagnostic,BASE,1219,9,0.7638782534257627
earlier_diagnostic,STRESS,1219,9,0.7403586933225159
