period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_target_origins,mean_exposure,minimum_panic_budget,maximum_panic_budget,mean_panic_budget
evaluation,BASE,234,24,24,0,0,0.09352449803392703,0.0,1.0,0.3849139711826022
evaluation,STRESS,234,24,24,0,0,0.09356730535346722,0.0,1.0,0.3849139711826022
earlier_diagnostic,BASE,280,11,11,0,0,0.21863296932982698,0.0,1.0,0.13821889418362307
earlier_diagnostic,STRESS,280,11,11,0,0,0.21866003667574413,0.0,1.0,0.13821889418362307
