period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_target_origins,mean_exposure
evaluation,BASE,262,26,26,0,0,0.09053914829022114
evaluation,STRESS,262,26,26,0,0,0.09056381829385099
earlier_diagnostic,BASE,339,16,17,0,0,0.1534815392419266
earlier_diagnostic,STRESS,339,16,17,0,0,0.15363073740648825
