origin,is_monthly_training_origin,actual_index_members,forward_eps_growth_median,eps_growth_company_count,same_year_profit_revision_90_median,profit_revision_company_count,reported_forward_earnings_yield_median,reported_earnings_yield_company_count,raw_eps_revision_90_unadjusted_median,raw_eps_revision_unadjusted_company_count,all_eps_features_valid,eps_company_coverage_of_index,valuation_company_count,report_target_midpoint_upside_median,report_target_age_days_median,report_target_company_coverage_of_index,all_valuation_features_valid
2015-01-30,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2015-02-27,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2015-03-31,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2015-04-30,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2015-05-29,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2015-06-30,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2015-07-31,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2015-08-31,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2015-09-30,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2015-10-30,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2015-11-30,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2015-12-31,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2016-01-29,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2016-02-29,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2016-03-31,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2016-04-29,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2016-05-31,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2016-06-30,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2016-07-29,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2016-08-31,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2016-09-30,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2016-10-31,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2016-11-30,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2016-12-30,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2017-01-26,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2017-02-28,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2017-03-31,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2017-04-28,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2017-05-31,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2017-06-30,True,300,0.14765100671140952,1,,0,,0,,0,False,0.0033333333333333335,0,,,0.0,False
2017-07-31,True,300,0.14765100671140952,1,,0,,0,,0,False,0.0033333333333333335,0,,,0.0,False
2017-08-31,True,300,0.2531645569620254,3,,0,0.05714285714285714,3,,0,False,0.01,0,,,0.0,False
2017-09-29,True,300,0.20040778183671745,4,0.0,1,0.05650438946528332,4,0.0,1,False,0.013333333333333334,0,,,0.0,False
2017-10-31,True,300,0.20040778183671745,4,0.0,1,0.052087550265835426,4,0.0,1,False,0.013333333333333334,0,,,0.0,False
2017-11-30,True,300,0.14750971388202055,6,0.0,4,0.0558659217877095,6,0.0,4,False,0.02,0,,,0.0,False
2017-12-29,True,300,0.14750971388202055,6,0.0,4,0.0558659217877095,6,0.0,4,False,0.02,0,,,0.0,False
2018-01-31,True,300,0.12165232614444815,6,0.0,6,0.06231073841136735,6,0.0,6,False,0.02,0,,,0.0,False
2018-02-28,True,300,0.12165232614444815,4,0.0,4,0.05907085027276834,4,0.0,4,False,0.013333333333333334,0,,,0.0,False
2018-03-30,True,300,0.12165232614444815,4,0.0,4,0.05907085027276834,4,0.0,4,False,0.013333333333333334,0,,,0.0,False
2018-04-27,True,300,0.1146496815286624,3,0.0,3,0.06289308176100629,3,0.0,3,False,0.01,0,,,0.0,False
2018-05-31,True,300,,0,,0,,0,,0,False,0.0,0,,,0.0,False
2018-06-29,True,300,0.295555108608206,2,0.0,1,0.04927548052089281,2,0.0,1,False,0.006666666666666667,0,,,0.0,False
2018-07-31,True,300,0.15929203539823006,1,,0,0.01658374792703151,1,,0,False,0.0033333333333333335,0,,,0.0,False
