period,cost,model,days,cycles,net_sharpe,gross_price_and_dividend_profit,explicit_cost,net_profit
evaluation,BASE,OBSERVED_RETURN_STATE,1604,51,-0.22154036866836915,-19322.100000000093,14975.757820000103,-34297.85782000012
evaluation,BASE,POOLED_RETURN_STATE_CONTROL,1604,1,-0.2015603525265991,-18400.0,296.90240000000836,-18696.90239999999
evaluation,STRESS,OBSERVED_RETURN_STATE,1604,2,-0.13914729116028807,-4196.399999999989,1184.5971199999856,-5380.997119999956
evaluation,STRESS,POOLED_RETURN_STATE_CONTROL,1604,0,,0.0,0.0,0.0
earlier_diagnostic,BASE,OBSERVED_RETURN_STATE,1219,65,0.04654954042028954,8213.100000000084,19718.408719999985,-11505.30872000003
earlier_diagnostic,BASE,POOLED_RETURN_STATE_CONTROL,1219,1,-0.0863077671203211,-34680.39999999998,293.5756799999756,-34973.975679999974
earlier_diagnostic,STRESS,OBSERVED_RETURN_STATE,1219,1,0.08400209865309358,-1334.4000000000087,602.7484800000004,-1937.1484800000326
earlier_diagnostic,STRESS,POOLED_RETURN_STATE_CONTROL,1219,1,-0.4132148003851736,-76132.30000000002,463.4810399999817,-76595.78103999999
