fit_index,fit_origin,first_origin_index,last_origin_index,rows,latest_exit_index,latest_maturity_index,status,state,negative_rows,nonnegative_rows,price_return,new_dividend_yield
632,2014-12-31,389,630,242,632,632,ESTIMATION_COMPLETE,0,120,122,0.0010329597642232578,0.00018001800180018
632,2014-12-31,389,630,242,632,632,ESTIMATION_COMPLETE,1,120,122,0.0024322284177065077,0.0
632,2014-12-31,389,630,242,632,632,ESTIMATION_COMPLETE,pooled,120,122,0.0017383761928387803,8.92651248595934e-05
633,2015-01-05,390,631,242,633,633,ESTIMATION_COMPLETE,0,119,123,0.0012755666454406162,0.00018153075811782858
633,2015-01-05,390,631,242,633,633,ESTIMATION_COMPLETE,1,119,123,0.002682835347106821,0.0
633,2015-01-05,390,631,242,633,633,ESTIMATION_COMPLETE,pooled,119,123,0.0019908313161222,8.92651248595934e-05
653,2015-02-02,410,651,242,653,653,ESTIMATION_COMPLETE,0,120,122,0.0010674425493215438,0.0
653,2015-02-02,410,651,242,653,653,ESTIMATION_COMPLETE,1,120,122,0.002377881094559928,8.269969613768792e-05
653,2015-02-02,410,651,242,653,653,ESTIMATION_COMPLETE,pooled,120,122,0.0017280768572516382,4.169158235040465e-05
668,2015-03-02,425,666,242,668,668,ESTIMATION_COMPLETE,0,119,123,0.0013340235471223953,0.0
668,2015-03-02,425,666,242,668,668,ESTIMATION_COMPLETE,1,119,123,0.0029712035045612044,8.202734088453598e-05
668,2015-03-02,425,666,242,668,668,ESTIMATION_COMPLETE,pooled,119,123,0.002166143938713195,4.169158235040465e-05
690,2015-04-01,447,688,242,690,690,ESTIMATION_COMPLETE,0,115,127,0.0018160746708136262,0.0
690,2015-04-01,447,688,242,690,690,ESTIMATION_COMPLETE,1,115,127,0.0034072119386396415,7.944380258896005e-05
690,2015-04-01,447,688,242,690,690,ESTIMATION_COMPLETE,pooled,115,127,0.002651092989052899,4.169158235040465e-05
711,2015-05-04,468,709,242,711,711,ESTIMATION_COMPLETE,0,111,131,0.0033815791841419083,0.0
711,2015-05-04,468,709,242,711,711,ESTIMATION_COMPLETE,1,111,131,0.0034105744207483663,7.701803762441164e-05
711,2015-05-04,468,709,242,711,711,ESTIMATION_COMPLETE,pooled,111,131,0.0033972749527181314,4.169158235040465e-05
