date,open,mark,mark_clock,cash,shares,dividend_receivable,equity,net_return,pnl,price_pnl,dividend_recognized,dividend_paid,exposure,accounting_error,origin,terminal_unliquidated,turnover,decision_action,execution_exit_reasons,forecast_age_trading_days,requested_quantity,filled_quantity,open_price,fill_price,commission,slippage_cost,notional,status,cash_before,shares_before,cash_after,shares_after
2024-06-03,3.58,3.587,CLOSE,442.6965199999686,55700,0.0,200238.59652,0.0011929825999998922,238.59651999999187,389.9000000000065,0.0,0.0,0.9977891548997361,-2.1742607714259066e-12,2024-05-31,False,0.9975870000000001,TARGET_100,,0.0,55700,55700,3.58,3.5820000000000003,39.90348000000001,111.40000000001247,199517.40000000002,FILLED,200000.0,0,442.6965199999686,55700.0
2024-07-01,3.487,3.501,CLOSE,194518.37361999997,0,0.0,194518.37361999997,-0.0007716853292490944,-150.2228999999934,0.0,0.0,0.0,0.0,1.908517788251629e-11,2024-06-28,False,0.9971536419848641,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,0.0,-55700,-55700,3.487,3.485,38.822900000000004,111.40000000001247,194114.5,FILLED,442.6965199999686,55700,194518.37361999997,0.0
2024-12-02,3.997,4.031,CLOSE,97323.23847999997,24300,0.0,195276.53847999996,0.0038976516505382364,758.1648599999899,826.1999999999954,0.0,0.0,0.5016132545284352,-8.526512829121202e-14,2024-11-29,False,0.49957080244685226,TARGET_50,,0.0,24300,24300,3.997,3.999,19.43514,48.60000000000544,97175.7,FILLED,194518.37361999997,0,97323.23847999997,24300.0
2025-01-02,4.02,3.909,CLOSE,49037.58327999998,36300,0.0,190934.28327999997,-0.021140166589218135,-4123.5552000000025,-4077.900000000008,0.0,0.0,0.7431703597824404,6.671996288787341e-12,2024-12-31,False,0.2475575022818786,TARGET_75,,0.0,12000,12000,4.02,4.023,9.655199999999999,36.000000000001364,48275.99999999999,FILLED,97323.23847999997,24300,49037.58327999998,36300.0
2025-02-05,3.93,3.887,CLOSE,271.03191999997944,48700,0.0,189567.93191999997,-0.006778476107758391,-1293.7513600000239,-1259.2000000000025,0.0,0.0,0.9985702649321808,-2.403766075076419e-11,2025-01-27,False,0.2543436046994317,TARGET_100,,0.0,12500,12400,3.93,3.932,9.75136,24.79999999999727,48756.799999999996,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,49037.58327999998,36300,271.03191999997944,48700.0
2025-04-01,3.988,3.982,CLOSE,194350.40828,0,0.0,194350.40828,0.00030148647743533097,58.57636000003549,194.80000000000018,0.0,0.0,0.0,2.459898951201467e-11,2025-03-31,False,0.9981056182815098,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,0.0,-48700,-48700,3.988,3.986,38.823640000000005,97.39999999998928,194118.2,FILLED,271.03191999997944,48700,194350.40828,0.0
2025-07-01,3.98,3.988,CLOSE,97170.17612,24400,0.0,194477.37612,0.0006532934050598183,126.96783999999752,195.20000000000016,0.0,0.0,0.5003522874555739,2.8279600883251987e-12,2025-06-30,False,0.4999258857229708,TARGET_50,,0.0,24400,24400,3.98,3.982,19.432160000000003,48.80000000000546,97160.8,FILLED,194350.40828,0,97170.17612,24400.0
2025-08-01,4.148,4.133,CLOSE,432.5324600000167,47700,0.0,197576.63246000002,-0.004913286165196151,-975.5436599999957,-886.2999999999985,0.0,0.0,0.9978108116601917,5.4001247917767614e-12,2025-07-31,False,0.48753719674520013,TARGET_100,,0.0,23300,23300,4.148,4.151,19.34366,69.90000000000265,96718.29999999999,FILLED,97170.17612,24400,432.5324600000167,47700.0
2026-02-02,4.68,4.6,CLOSE,206.73246000001745,49000,0.0,225606.73246,-0.023408071449144252,-5407.600000000035,-5398.700000000032,0.0,0.0,0.999083660058608,-3.126388037344441e-12,2026-01-30,False,0.02652267944089642,TARGET_100,,0.0,1300,1300,4.68,4.683,5.0,3.900000000000148,6087.9,FILLED,6299.632460000017,47700,206.73246000001745,49000.0
2026-03-23,4.528,4.43,CLOSE,221887.38746000006,0,0.0,221887.38746000006,-0.011332427480506668,-2543.344999999943,-2352.0000000000023,0.0,0.0,0.0,2.1373125491663814e-11,2026-03-20,False,0.9984071754369199,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,15.0,-49000,-49000,4.528,4.525,44.345000000000006,146.99999999996206,221725.00000000003,FILLED,206.73246000001745,49000,221887.38746000006,0.0
2026-05-06,4.866,4.888,CLOSE,303.57956000004197,45500,0.0,222707.57956000004,0.003696434075811661,820.1920999999857,1001.000000000011,0.0,0.0,0.9986368692049017,-2.0179413695586845e-11,2026-04-30,False,0.9984321440529702,TARGET_100,,0.0,45900,45500,4.866,4.869,44.307900000000004,136.50000000000517,221539.5,PARTIALLY_FILLED_CASH_OR_T_PLUS_ONE,221887.38746000006,0,303.57956000004197,45500.0
2026-07-20,4.63,4.65,CLOSE,210789.97386000006,0,0.0,210789.97386000006,0.008067285778619704,1686.8942999999854,1865.4999999999764,0.0,0.0,0.0,1.4210854715202004e-11,2026-07-17,False,0.9979140042516385,独立退出条件触发，清仓请求持续到成交,含分红价格连续两个收盘不高于一百二十日均线,13.0,-45500,-45500,4.63,4.627,42.1057,136.50000000000517,210528.5,FILLED,303.57956000004197,45500,210789.97386000006,0.0
