cost,model,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,D1_EPS_DISTRIBUTION,2020,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,D1_EPS_DISTRIBUTION,2021,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,D1_EPS_DISTRIBUTION,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
BASE,D1_EPS_DISTRIBUTION,2023,-0.0692157269999997,-0.0692157269999997,-0.0698729942113876,0.060829517266211615,-1.1486692209901734,-0.10639436255673819,242,0.2473293437217112,2,44.845400000000005,106.1999999999883,False,2.4556356947869062e-11
BASE,D1_EPS_DISTRIBUTION,2024,0.1705928427305932,0.1705928427305932,0.17278794464569402,0.17811839946677624,0.9700735306569129,-0.1587507297730207,242,0.49479169565215,6,138.77298000000002,390.7999999999979,False,2.830802259268239e-11
BASE,D1_EPS_DISTRIBUTION,2025,0.16161835426994403,0.16090241496827287,0.15898624536516207,0.13922318206649742,1.14195238900103,-0.10060867174274436,243,0.8715219453545728,5,86.31708,255.0000000000136,False,3.7402969610411674e-11
BASE,D1_EPS_DISTRIBUTION,2026,0.021915395780872142,0.03583691073962538,0.052793174218021106,0.18795317580714752,0.2808847149898144,-0.09851480745864347,149,0.9906012665698078,2,56.695280000000004,168.00000000000637,False,5.093170329928398e-11
BASE,D2_PRICE_EPS_DISTRIBUTION,2020,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,D2_PRICE_EPS_DISTRIBUTION,2021,0.0,0.0,0.0,0.0,,0.0,243,0.0,0,0.0,0.0,False,0.0
BASE,D2_PRICE_EPS_DISTRIBUTION,2022,0.0,0.0,0.0,0.0,,0.0,242,0.0,0,0.0,0.0,False,0.0
