cost,model,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error
BASE,Q1_RELATION_QUALIFIED_PE,2020,0.05234385360000082,0.05212292824582302,0.054147286915274186,0.08182318642313413,0.661759695292983,-0.09582616593026241,243,0.1637047080016094,5,117.62928000000001,331.0000000000092,False,2.9046987037872896e-11
BASE,Q1_RELATION_QUALIFIED_PE,2021,-0.08799549489761817,-0.08764972956166718,-0.08350417473507293,0.12796275800435863,-0.6525662312797965,-0.18534056550590916,243,0.568882101862363,11,150.30364,436.8000000000079,False,5.502442945726216e-11
BASE,Q1_RELATION_QUALIFIED_PE,2022,-0.03602036778505989,-0.03602036778505989,-0.031124307212010538,0.10568401948223637,-0.2945034392568877,-0.12315526390813833,242,0.5007831020123985,7,99.15438,307.89999999997974,False,4.1382008930668235e-11
BASE,Q1_RELATION_QUALIFIED_PE,2023,-0.08793211836967653,-0.08793211836967653,-0.08749978600089992,0.09546543607616259,-0.9165598524170815,-0.10709825926947117,242,0.6772458102193712,8,96.66788000000001,320.2000000000047,False,4.000355602329364e-11
BASE,Q1_RELATION_QUALIFIED_PE,2024,0.25256298592368953,0.25256298592368953,0.2396573002512986,0.17318917646812318,1.3837891324312026,-0.12369847295739232,242,0.5606970020903274,3,66.67418,199.69999999996236,False,2.3362645151792094e-11
BASE,Q1_RELATION_QUALIFIED_PE,2025,0.17903620799008124,0.1782373671394731,0.1713181508985693,0.12034313188397971,1.4235806249727117,-0.07610301013990267,243,0.7505459826190938,6,116.68884,329.9999999999867,False,4.126832209294662e-11
BASE,Q1_RELATION_QUALIFIED_PE,2026,0.01577463521997731,0.025746429408496727,0.042843383178924554,0.18709466941277006,0.22899307240230918,-0.0985866716004928,149,0.9763865227787937,4,60.632740000000005,165.8999999999943,False,6.752998160663992e-11
BASE,Q2_MATCHED_RAW_REPORTED_PE,2020,0.05234385360000082,0.05212292824582302,0.054147286915274186,0.08182318642313413,0.661759695292983,-0.09582616593026241,243,0.1637047080016094,5,117.62928000000001,331.0000000000092,False,2.9046987037872896e-11
BASE,Q2_MATCHED_RAW_REPORTED_PE,2021,-0.049950877862000406,-0.04975051918272245,-0.04818443787572439,0.07541855731225598,-0.638893656851934,-0.10902913989240659,243,0.34016770864464874,7,90.39986,264.30000000001,False,3.4788172342814505e-11
BASE,Q2_MATCHED_RAW_REPORTED_PE,2022,-0.013978159298901826,-0.013978159298901826,-0.00945903762606981,0.09636229387231396,-0.09816119195547196,-0.1009350706243831,242,0.48404118213201835,7,97.41222000000002,305.29999999998125,False,5.752553988713771e-11
