model,period,cost,suppressed_buy_requests,suppressed_initial_entry_requests,suppressed_addition_requests,fills
SELECTED_MIX_BAND00_FULL,evaluation,BASE,0,0,0,261
SELECTED_MIX_BAND00_FULL,evaluation,STRESS,0,0,0,242
SELECTED_MIX_BAND00_FULL,earlier_diagnostic,BASE,0,0,0,147
SELECTED_MIX_BAND00_FULL,earlier_diagnostic,STRESS,0,0,0,139
SELECTED_MIX_BAND00_TOP3,evaluation,BASE,0,0,0,200
SELECTED_MIX_BAND00_TOP3,evaluation,STRESS,0,0,0,202
SELECTED_MIX_BAND00_TOP3,earlier_diagnostic,BASE,0,0,0,123
SELECTED_MIX_BAND00_TOP3,earlier_diagnostic,STRESS,0,0,0,131
SELECTED_MIX_BAND00_SIMPLE3,evaluation,BASE,0,0,0,200
SELECTED_MIX_BAND00_SIMPLE3,evaluation,STRESS,0,0,0,196
SELECTED_MIX_BAND00_SIMPLE3,earlier_diagnostic,BASE,0,0,0,135
SELECTED_MIX_BAND00_SIMPLE3,earlier_diagnostic,STRESS,0,0,0,130
SELECTED_MIX_BAND00_SIMPLE2,evaluation,BASE,0,0,0,199
SELECTED_MIX_BAND00_SIMPLE2,evaluation,STRESS,0,0,0,200
SELECTED_MIX_BAND00_SIMPLE2,earlier_diagnostic,BASE,0,0,0,122
SELECTED_MIX_BAND00_SIMPLE2,earlier_diagnostic,STRESS,0,0,0,124
SELECTED_MIX_BAND10_FULL,evaluation,BASE,0,0,0,124
SELECTED_MIX_BAND10_FULL,evaluation,STRESS,0,0,0,124
SELECTED_MIX_BAND10_FULL,earlier_diagnostic,BASE,0,0,0,71
SELECTED_MIX_BAND10_FULL,earlier_diagnostic,STRESS,0,0,0,71
SELECTED_MIX_BAND10_TOP3,evaluation,BASE,0,0,0,119
SELECTED_MIX_BAND10_TOP3,evaluation,STRESS,0,0,0,118
SELECTED_MIX_BAND10_TOP3,earlier_diagnostic,BASE,0,0,0,65
SELECTED_MIX_BAND10_TOP3,earlier_diagnostic,STRESS,0,0,0,65
SELECTED_MIX_BAND10_SIMPLE3,evaluation,BASE,0,0,0,119
SELECTED_MIX_BAND10_SIMPLE3,evaluation,STRESS,0,0,0,119
SELECTED_MIX_BAND10_SIMPLE3,earlier_diagnostic,BASE,0,0,0,66
SELECTED_MIX_BAND10_SIMPLE3,earlier_diagnostic,STRESS,0,0,0,66
SELECTED_MIX_BAND10_SIMPLE2,evaluation,BASE,0,0,0,119
SELECTED_MIX_BAND10_SIMPLE2,evaluation,STRESS,0,0,0,119
SELECTED_MIX_BAND10_SIMPLE2,earlier_diagnostic,BASE,0,0,0,66
SELECTED_MIX_BAND10_SIMPLE2,earlier_diagnostic,STRESS,0,0,0,66
