period,model,cost,decision_origins,positive_source_origins,zero_source_origins,unknown_source_origins,source_mix,exposure_multiplier
evaluation,SELECTED_MIX_BAND00_FULL,BASE,1604,623,981,0,FULL,1.0
evaluation,SELECTED_MIX_BAND00_TOP3,BASE,1604,623,981,0,TOP3,1.0
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,1604,623,981,0,SIMPLE3,1.0
evaluation,SELECTED_MIX_BAND00_SIMPLE2,BASE,1604,623,981,0,SIMPLE2,1.0
evaluation,SELECTED_MIX_BAND10_FULL,BASE,1604,623,981,0,FULL,1.0
evaluation,SELECTED_MIX_BAND10_TOP3,BASE,1604,623,981,0,TOP3,1.0
evaluation,SELECTED_MIX_BAND10_SIMPLE3,BASE,1604,623,981,0,SIMPLE3,1.0
evaluation,SELECTED_MIX_BAND10_SIMPLE2,BASE,1604,623,981,0,SIMPLE2,1.0
evaluation,SELECTED_MIX_BAND00_FULL,STRESS,1604,623,981,0,FULL,1.0
evaluation,SELECTED_MIX_BAND00_TOP3,STRESS,1604,623,981,0,TOP3,1.0
evaluation,SELECTED_MIX_BAND00_SIMPLE3,STRESS,1604,623,981,0,SIMPLE3,1.0
evaluation,SELECTED_MIX_BAND00_SIMPLE2,STRESS,1604,623,981,0,SIMPLE2,1.0
evaluation,SELECTED_MIX_BAND10_FULL,STRESS,1604,623,981,0,FULL,1.0
evaluation,SELECTED_MIX_BAND10_TOP3,STRESS,1604,623,981,0,TOP3,1.0
evaluation,SELECTED_MIX_BAND10_SIMPLE3,STRESS,1604,623,981,0,SIMPLE3,1.0
evaluation,SELECTED_MIX_BAND10_SIMPLE2,STRESS,1604,623,981,0,SIMPLE2,1.0
earlier_diagnostic,SELECTED_MIX_BAND00_FULL,BASE,1219,527,692,0,FULL,1.0
earlier_diagnostic,SELECTED_MIX_BAND00_TOP3,BASE,1219,527,692,0,TOP3,1.0
earlier_diagnostic,SELECTED_MIX_BAND00_SIMPLE3,BASE,1219,527,692,0,SIMPLE3,1.0
earlier_diagnostic,SELECTED_MIX_BAND00_SIMPLE2,BASE,1219,527,692,0,SIMPLE2,1.0
earlier_diagnostic,SELECTED_MIX_BAND10_FULL,BASE,1219,527,692,0,FULL,1.0
earlier_diagnostic,SELECTED_MIX_BAND10_TOP3,BASE,1219,527,692,0,TOP3,1.0
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE3,BASE,1219,527,692,0,SIMPLE3,1.0
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE2,BASE,1219,527,692,0,SIMPLE2,1.0
earlier_diagnostic,SELECTED_MIX_BAND00_FULL,STRESS,1219,533,686,0,FULL,1.0
earlier_diagnostic,SELECTED_MIX_BAND00_TOP3,STRESS,1219,533,686,0,TOP3,1.0
earlier_diagnostic,SELECTED_MIX_BAND00_SIMPLE3,STRESS,1219,533,686,0,SIMPLE3,1.0
earlier_diagnostic,SELECTED_MIX_BAND00_SIMPLE2,STRESS,1219,533,686,0,SIMPLE2,1.0
earlier_diagnostic,SELECTED_MIX_BAND10_FULL,STRESS,1219,533,686,0,FULL,1.0
earlier_diagnostic,SELECTED_MIX_BAND10_TOP3,STRESS,1219,533,686,0,TOP3,1.0
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE3,STRESS,1219,533,686,0,SIMPLE3,1.0
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE2,STRESS,1219,533,686,0,SIMPLE2,1.0
