period,cost,model,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,SELECTED_MIX_BAND00_FULL,622,123,138,0,0,0.18736318414933464
evaluation,BASE,SELECTED_MIX_BAND00_TOP3,622,89,111,0,0,0.18053524060384757
evaluation,BASE,SELECTED_MIX_BAND00_SIMPLE3,622,89,111,0,0,0.17962814779490233
evaluation,BASE,SELECTED_MIX_BAND00_SIMPLE2,622,88,111,0,0,0.18028069278761805
evaluation,BASE,SELECTED_MIX_BAND10_FULL,622,59,65,0,0,0.18507289652785275
evaluation,BASE,SELECTED_MIX_BAND10_TOP3,622,59,60,0,0,0.17905945262954645
evaluation,BASE,SELECTED_MIX_BAND10_SIMPLE3,622,59,60,0,0,0.17793788569327512
evaluation,BASE,SELECTED_MIX_BAND10_SIMPLE2,622,59,60,0,0,0.17851161076764493
evaluation,STRESS,SELECTED_MIX_BAND00_FULL,622,114,128,0,0,0.18721474217352466
evaluation,STRESS,SELECTED_MIX_BAND00_TOP3,622,88,114,0,0,0.18035230802796798
evaluation,STRESS,SELECTED_MIX_BAND00_SIMPLE3,622,85,111,0,0,0.17944102836240616
evaluation,STRESS,SELECTED_MIX_BAND00_SIMPLE2,622,87,113,0,0,0.1799467729290623
evaluation,STRESS,SELECTED_MIX_BAND10_FULL,622,58,66,0,0,0.18479138349522634
evaluation,STRESS,SELECTED_MIX_BAND10_TOP3,622,58,60,0,0,0.17877835792597338
evaluation,STRESS,SELECTED_MIX_BAND10_SIMPLE3,622,58,61,0,0,0.17761497137905552
evaluation,STRESS,SELECTED_MIX_BAND10_SIMPLE2,622,58,61,0,0,0.17821245710766517
earlier_diagnostic,BASE,SELECTED_MIX_BAND00_FULL,526,65,82,0,0,0.2850741598048928
earlier_diagnostic,BASE,SELECTED_MIX_BAND00_TOP3,526,55,68,0,0,0.2797963148720781
earlier_diagnostic,BASE,SELECTED_MIX_BAND00_SIMPLE3,526,62,73,0,0,0.2787066127613448
earlier_diagnostic,BASE,SELECTED_MIX_BAND00_SIMPLE2,526,56,66,0,0,0.27977777692912287
earlier_diagnostic,BASE,SELECTED_MIX_BAND10_FULL,526,30,41,0,0,0.283442132678677
earlier_diagnostic,BASE,SELECTED_MIX_BAND10_TOP3,526,30,35,0,0,0.278579662492993
earlier_diagnostic,BASE,SELECTED_MIX_BAND10_SIMPLE3,526,30,36,0,0,0.2773340444674751
earlier_diagnostic,BASE,SELECTED_MIX_BAND10_SIMPLE2,526,30,36,0,0,0.278449425716574
earlier_diagnostic,STRESS,SELECTED_MIX_BAND00_FULL,532,61,78,0,0,0.28745657589838036
earlier_diagnostic,STRESS,SELECTED_MIX_BAND00_TOP3,532,59,72,0,0,0.28212787878979473
earlier_diagnostic,STRESS,SELECTED_MIX_BAND00_SIMPLE3,532,58,72,0,0,0.281207829326172
earlier_diagnostic,STRESS,SELECTED_MIX_BAND00_SIMPLE2,532,55,69,0,0,0.2823463553862172
earlier_diagnostic,STRESS,SELECTED_MIX_BAND10_FULL,532,30,41,0,0,0.28543569705099303
earlier_diagnostic,STRESS,SELECTED_MIX_BAND10_TOP3,532,30,35,0,0,0.2807402868949132
earlier_diagnostic,STRESS,SELECTED_MIX_BAND10_SIMPLE3,532,30,36,0,0,0.2795332755070605
earlier_diagnostic,STRESS,SELECTED_MIX_BAND10_SIMPLE2,532,30,36,0,0,0.2806495157032941
