model,period,cost,net_sharpe,cycles,holding_closes,gross_price_dividend_profit,commission_and_slippage,net_profit
SELECTED_MIX_BAND00_FULL,evaluation,BASE,1.2899680761360868,43,622,208400.60000000003,13268.94159999986,195131.6584000002
SELECTED_MIX_BAND00_FULL,evaluation,STRESS,1.2233719900451485,43,622,203949.10000000003,23099.27384000003,180849.82615999994
SELECTED_MIX_BAND00_FULL,earlier_diagnostic,BASE,1.2244673599422224,24,526,146468.00000000003,7344.478940000072,139123.52105999994
SELECTED_MIX_BAND00_FULL,earlier_diagnostic,STRESS,1.2346696241416828,24,532,155139.69999999998,13557.797279999973,141581.9027199999
SELECTED_MIX_BAND00_TOP3,evaluation,BASE,1.2800101676173583,43,622,206972.80000000002,12743.28937999985,194229.51062000036
SELECTED_MIX_BAND00_TOP3,evaluation,STRESS,1.213827874515275,43,622,202386.0,22410.00840000002,179975.99159999995
SELECTED_MIX_BAND00_TOP3,earlier_diagnostic,BASE,1.2403899844310247,24,526,145966.6,7121.506480000074,138845.09352
SELECTED_MIX_BAND00_TOP3,earlier_diagnostic,STRESS,1.2525816738468298,24,532,154826.4,13301.65387999998,141524.7461200002
SELECTED_MIX_BAND00_SIMPLE3,evaluation,BASE,1.2870453855718271,43,622,205661.1,12638.783439999852,193022.31655999995
SELECTED_MIX_BAND00_SIMPLE3,evaluation,STRESS,1.2203959784705467,43,622,201109.5,22200.37020000002,178909.12980000005
SELECTED_MIX_BAND00_SIMPLE3,earlier_diagnostic,BASE,1.2386609841311818,24,526,145119.3,7159.355120000072,137959.94487999997
SELECTED_MIX_BAND00_SIMPLE3,earlier_diagnostic,STRESS,1.2496473247689401,24,532,153784.90000000002,13255.923119999978,140528.97687999991
SELECTED_MIX_BAND00_SIMPLE2,evaluation,BASE,1.2868632111221363,43,622,205970.99999999994,12675.655319999853,193295.34468000015
SELECTED_MIX_BAND00_SIMPLE2,evaluation,STRESS,1.2201084835617568,43,622,201380.09999999998,22275.607320000017,179104.49268000002
SELECTED_MIX_BAND00_SIMPLE2,earlier_diagnostic,BASE,1.2376356520072824,24,526,145754.90000000002,7119.686520000073,138635.2134800001
SELECTED_MIX_BAND00_SIMPLE2,earlier_diagnostic,STRESS,1.2487398248718873,24,532,154526.7,13281.215879999978,141245.4841199998
SELECTED_MIX_BAND10_FULL,evaluation,BASE,1.2889013275807608,43,622,207936.69999999998,12445.324179999863,195491.37582000013
SELECTED_MIX_BAND10_FULL,evaluation,STRESS,1.222684627786843,43,622,203371.00000000003,22163.01076000002,181207.9892399999
SELECTED_MIX_BAND10_FULL,earlier_diagnostic,BASE,1.2239195325052583,24,526,144336.09999999998,6808.490580000076,137527.60941999982
SELECTED_MIX_BAND10_FULL,earlier_diagnostic,STRESS,1.235169362272293,24,532,152812.5,12894.37883999998,139918.1211600001
SELECTED_MIX_BAND10_TOP3,evaluation,BASE,1.2751483363577119,43,622,210832.1,12320.479699999849,198511.62030000013
SELECTED_MIX_BAND10_TOP3,evaluation,STRESS,1.211531258094734,43,622,206437.9,21914.259400000017,184523.64059999993
SELECTED_MIX_BAND10_TOP3,earlier_diagnostic,BASE,1.2350704012102027,24,526,143995.2,6711.811580000084,137283.38841999992
SELECTED_MIX_BAND10_TOP3,earlier_diagnostic,STRESS,1.246006123628863,24,532,152346.1,12696.357759999984,139649.74223999993
SELECTED_MIX_BAND10_SIMPLE3,evaluation,BASE,1.2810472268896844,43,622,209586.2,12206.569919999853,197379.63007999997
SELECTED_MIX_BAND10_SIMPLE3,evaluation,STRESS,1.2165861426414069,43,622,205102.69999999995,21720.08848000002,183382.6115200001
SELECTED_MIX_BAND10_SIMPLE3,earlier_diagnostic,BASE,1.2285774671770735,24,526,142274.5,6659.127740000082,135615.3722599998
SELECTED_MIX_BAND10_SIMPLE3,earlier_diagnostic,STRESS,1.2392926023280768,24,532,150520.9,12597.495399999985,137923.4046
SELECTED_MIX_BAND10_SIMPLE2,evaluation,BASE,1.281246173566597,43,622,209964.6,12250.412099999852,197714.18790000014
SELECTED_MIX_BAND10_SIMPLE2,evaluation,STRESS,1.2163675529261235,43,622,205362.3,21803.52020000002,183558.77980000002
SELECTED_MIX_BAND10_SIMPLE2,earlier_diagnostic,BASE,1.2287047720158415,24,526,143187.30000000002,6689.359960000081,136497.94003999984
SELECTED_MIX_BAND10_SIMPLE2,earlier_diagnostic,STRESS,1.239529799296327,24,532,151458.7,12660.042759999984,138798.65724000038
