period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,entry_confirmation_origins,runs_exit_confirmation_origins,momentum_exit_confirmation_origins,risk_capped_origins,full_target_origins
evaluation,RETURN_RUNS_STATE,BASE,1604,144,1460,0,9,45,36,119,25
evaluation,RETURN_RUNS_STATE,STRESS,1604,144,1460,0,9,45,36,119,25
earlier_diagnostic,RETURN_RUNS_STATE,BASE,1219,196,1023,0,16,39,24,161,35
earlier_diagnostic,RETURN_RUNS_STATE,STRESS,1219,196,1023,0,16,39,24,161,35
