period,cost,holding_closes,completed_round_trips,entry_unknown_origins,exit_unknown_origins,simultaneous_entry_exit_origins,unfilled_requests,waiting_for_new_condition_origins
evaluation,BASE,456,31,0,0,57,0,67
evaluation,STRESS,456,31,0,0,57,0,67
earlier_diagnostic,BASE,456,20,0,0,42,0,21
earlier_diagnostic,STRESS,456,20,0,0,42,0,21
