period,cost,year,new_return,parent_return,return_difference
evaluation,BASE,2020,-0.009471124799999873,0.1984676459999992,-0.20793877079999906
evaluation,BASE,2021,0.03393170662815227,0.04617691331485621,-0.012245206686703938
evaluation,BASE,2022,-0.003465771121695537,0.02614325317990448,-0.029609024301600017
evaluation,BASE,2023,-0.027860333607654997,0.0,-0.027860333607654997
evaluation,BASE,2024,-0.13014062231060042,0.1052417254962333,-0.2353823478068337
evaluation,BASE,2025,0.08998799050722046,0.074523493402178,0.015464497105042468
evaluation,BASE,2026,-0.07324921333373322,0.02277813084023497,-0.09602734417396819
evaluation,STRESS,2020,-0.019877406799999487,0.19339729239999978,-0.21327469919999928
evaluation,STRESS,2021,0.03010985177236758,0.040063838676763254,-0.009953986904395674
evaluation,STRESS,2022,-0.006207494970866099,0.023338175914139076,-0.029545670885005176
evaluation,STRESS,2023,-0.03184035453785426,0.0,-0.03184035453785426
evaluation,STRESS,2024,-0.13754119360050585,0.09846225867325524,-0.23600345227376107
evaluation,STRESS,2025,0.0826525039514188,0.07086640956728539,0.011786094384133403
evaluation,STRESS,2026,-0.07906119413217842,0.01721367700991211,-0.09627487114209053
earlier_diagnostic,BASE,2015,0.20624288109999875,0.32273049870000053,-0.11648761760000179
earlier_diagnostic,BASE,2016,-0.07482322947903688,0.026171735386779606,-0.1009949648658165
earlier_diagnostic,BASE,2017,0.07120384242892477,0.10178593051068936,-0.03058208808176459
earlier_diagnostic,BASE,2018,-0.006252069725459051,-0.07851933746461401,0.07226726773915496
earlier_diagnostic,BASE,2019,0.1750642684630796,0.09547468442489916,0.07958958403818044
earlier_diagnostic,STRESS,2015,0.2001783738000006,0.31435863239999967,-0.11418025859999908
earlier_diagnostic,STRESS,2016,-0.08000486252387759,0.02448037149590405,-0.10448523401978164
earlier_diagnostic,STRESS,2017,0.06319164491371607,0.10011105574099499,-0.036919410827278926
earlier_diagnostic,STRESS,2018,-0.007572805045156073,-0.08004653969963171,0.07247373465447564
earlier_diagnostic,STRESS,2019,0.16337907171224536,0.09221658168038552,0.07116249003185984
