period,cost,days,cycles,net_sharpe,same_filled_path_price_and_dividend_profit_before_fees,commission_and_slippage,net_profit
evaluation,BASE,1604,31,-0.1516336484448657,-16066.200000000088,9575.108880000022,-25641.30888000017
evaluation,STRESS,1604,31,-0.21405971753208292,-15727.300000000097,17204.09379999987,-32931.39379999976
earlier_diagnostic,BASE,1219,20,0.5684597709297693,86868.60000000003,7678.857479999948,79189.74252000003
earlier_diagnostic,STRESS,1219,20,0.5241322635816897,85698.80000000003,14621.72992000003,71077.07007999974
