period,cost,holding_closes,complete_cycles,unknown_origins,locked_exit_origins,unfilled_requests
evaluation,BASE,576,14,0,0,0
evaluation,STRESS,576,14,0,0,0
earlier_diagnostic,BASE,530,13,0,0,0
earlier_diagnostic,STRESS,530,13,0,0,0
