period,cost,net_sharpe,cycles,holding_closes,saved_price_dividend_profit_before_fees,commission_and_slippage,net_profit,terminal_nav_difference_vs_114
evaluation,BASE,0.07426221287374489,14,576,7590.999999999982,4621.273499999958,2969.726500000048,-109583.55056000012
evaluation,STRESS,0.04785068518909986,14,576,7512.399999999972,8289.563199999986,-777.1632000001264,-104744.44752000022
earlier_diagnostic,BASE,-0.09251963411429473,13,530,-34605.19999999997,3230.8333599999323,-37836.033359999885,-139766.68571999995
earlier_diagnostic,STRESS,-0.11174572473008629,13,530,-34787.29999999998,6347.907120000032,-41135.207120000036,-138821.3860400002
