period,cost,net_sharpe,cycles,holding_closes,saved_price_dividend_profit_before_fees,commission_and_slippage,net_profit,terminal_nav_difference_vs_114
evaluation,BASE,-0.1955617572975487,36,100,-1234.099999999984,11017.039800000028,-12251.13980000012,-124804.41686000029
evaluation,STRESS,-0.36647568970906996,36,100,-1466.6999999999816,20044.59715999999,-21511.297160000075,-125478.58148000017
earlier_diagnostic,BASE,0.13325806655427375,38,130,19189.600000000086,12045.34898000009,7144.251020000171,-94786.4013399999
earlier_diagnostic,STRESS,-0.02495362172166503,38,130,18514.60000000007,22884.39555999996,-4369.795559999824,-102055.97447999998
