period,cost,holding_closes,complete_cycles,unknown_origins,locked_exit_origins,unfilled_requests
evaluation,BASE,100,36,0,0,0
evaluation,STRESS,100,36,0,0,0
earlier_diagnostic,BASE,130,38,0,0,0
earlier_diagnostic,STRESS,130,38,0,0,0
