signal,kind,fit_index,fit_origin,fit_time,status,training_episode_count,training_path_count,training_rows,latest_exit_index,latest_exit_date,latest_group_mature_index,latest_group_mature_date
D60_INTRA,RIDGE,632,2014-12-31,2014-12-31 15:05:00,NO_VIEW_MINIMUM_MATURE_EPISODES_OR_ROWS,0,0,0,,,,
D60_INTRA,RIDGE,633,2015-01-05,2015-01-05 15:05:00,NO_VIEW_MINIMUM_MATURE_EPISODES_OR_ROWS,0,0,0,,,,
D60_INTRA,RIDGE,653,2015-02-02,2015-02-02 15:05:00,NO_VIEW_MINIMUM_MATURE_EPISODES_OR_ROWS,3,66,3805,644.0,2015-01-20,644.0,2015-01-20
D60_INTRA,RIDGE,668,2015-03-02,2015-03-02 15:05:00,NO_VIEW_MINIMUM_MATURE_EPISODES_OR_ROWS,3,66,3805,644.0,2015-01-20,644.0,2015-01-20
D60_INTRA,RIDGE,690,2015-04-01,2015-04-01 15:05:00,NO_VIEW_MINIMUM_MATURE_EPISODES_OR_ROWS,3,66,3805,644.0,2015-01-20,644.0,2015-01-20
D60_INTRA,RIDGE,711,2015-05-04,2015-05-04 15:05:00,NO_VIEW_MINIMUM_MATURE_EPISODES_OR_ROWS,3,66,3805,644.0,2015-01-20,644.0,2015-01-20
D60_INTRA,RIDGE,731,2015-06-01,2015-06-01 15:05:00,NO_VIEW_MINIMUM_MATURE_EPISODES_OR_ROWS,5,128,5583,729.0,2015-05-28,729.0,2015-05-28
D60_INTRA,RIDGE,752,2015-07-01,2015-07-01 15:05:00,NO_VIEW_MINIMUM_MATURE_EPISODES_OR_ROWS,7,145,5864,746.0,2015-06-23,746.0,2015-06-23
D60_INTRA,RIDGE,775,2015-08-03,2015-08-03 15:05:00,NO_VIEW_MINIMUM_MATURE_EPISODES_OR_ROWS,7,145,5864,746.0,2015-06-23,746.0,2015-06-23
D60_INTRA,RIDGE,796,2015-09-01,2015-09-01 15:05:00,NO_VIEW_MINIMUM_MATURE_EPISODES_OR_ROWS,7,145,5864,746.0,2015-06-23,746.0,2015-06-23
