period,cost,cycles,positive_cycles,positive_profit_sum,nonpositive_profit_sum,total_cycle_profit,largest_cycle_profit,smallest_cycle_profit,reconciliation_error
evaluation,BASE,24,13,85098.46332000001,-51541.53541999997,33556.92790000004,32394.782219999997,-21687.40776,0.0
evaluation,STRESS,24,13,80138.35871999996,-54215.585560000094,25922.773159999866,32045.926320000028,-21845.22192000001,0.0
earlier_diagnostic,BASE,9,6,161076.8203599999,-56978.22575999997,104098.59459999992,68456.1984,-26904.56103999997,2.9103830456733704e-11
earlier_diagnostic,STRESS,9,6,157663.11332000006,-57811.239960000035,99851.87336000003,67900.24240000002,-27135.059879999983,0.0
