period,cost,model,completed_cycles,entry_fraction_min,entry_fraction_median,entry_fraction_max,full_budget_cycles,no_view_budget_decisions,same_order_dates_and_directions_as_original
evaluation,BASE,ENTRY_VOL10,24,0.2796088016913255,0.6346021563862914,1.0,2,0,True
evaluation,BASE,ENTRY_HALF,24,0.5,0.5,0.5,0,0,True
evaluation,STRESS,ENTRY_VOL10,24,0.2796088016913255,0.6346021563862914,1.0,2,0,True
evaluation,STRESS,ENTRY_HALF,24,0.5,0.5,0.5,0,0,True
earlier_diagnostic,BASE,ENTRY_VOL10,9,0.21405038584465963,0.3283263228795448,1.0,1,0,True
earlier_diagnostic,BASE,ENTRY_HALF,9,0.5,0.5,0.5,0,0,True
earlier_diagnostic,STRESS,ENTRY_VOL10,9,0.21405038584465963,0.3283263228795448,1.0,1,0,True
earlier_diagnostic,STRESS,ENTRY_HALF,9,0.5,0.5,0.5,0,0,True
