period,cost,model,parent,net_profit_difference,price_pnl_difference,dividend_recognized_difference,commission_difference,slippage_cost_difference
evaluation,BASE,OWN_CUSHION_CONTINUOUS,CONTINUOUS_REFERENCE_MIN_VARIANCE,-887.1354200001224,-925.4000000000087,0.0,-9.16458,-29.099999999998545
evaluation,STRESS,OWN_CUSHION_CONTINUOUS,CONTINUOUS_REFERENCE_MIN_VARIANCE,-944.8403999999282,-1025.4000000000087,0.0,-21.159599999999955,-59.399999999999636
evaluation,BASE,OWN_CUSHION_CYCLE_RISK,CYCLE_ADVERSE_RISK,-6567.695819999964,-6707.0,-279.1999999999998,-103.20418000000018,-315.2999999999911
evaluation,STRESS,OWN_CUSHION_CYCLE_RISK,CYCLE_ADVERSE_RISK,-6661.886360000033,-7243.099999999991,-288.0,-229.01364000000012,-640.1999999999953
earlier_diagnostic,BASE,OWN_CUSHION_CONTINUOUS,CONTINUOUS_REFERENCE_MIN_VARIANCE,-14987.679120000073,-15777.399999999994,0.0,-192.3208800000001,-597.3999999999967
earlier_diagnostic,STRESS,OWN_CUSHION_CONTINUOUS,CONTINUOUS_REFERENCE_MIN_VARIANCE,-14515.107159999956,-16085.599999999991,0.0,-404.39284,-1166.099999999998
earlier_diagnostic,BASE,OWN_CUSHION_CYCLE_RISK,CYCLE_ADVERSE_RISK,-13896.269339999999,-14477.7,0.0,-143.83065999999985,-437.5999999999922
earlier_diagnostic,STRESS,OWN_CUSHION_CYCLE_RISK,CYCLE_ADVERSE_RISK,-13756.487040000153,-14898.599999999995,0.0,-295.71295999999984,-846.3999999999992
